sequence,v115@FhB8HeB8EeA8BeC8DeB8AeB8Jem/IvhFUhBanB5nBT?kBfrBVvB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeT/IvhFlgBanB5nB/?qBOrB0pB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeUBJvhFanB5nB/pBF?lBzqBmpB,v115@FhB8HeB8EeA8BeC8DeB8AeB8Je0/IvhFlgBanB5nB/?pBOrBTqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeT/IvhFanB5nB/qBF?mB0pBmqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeaHJvhF5nBTkB/qBF?mB0pBmqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeOEJvhF8kBanB5nBF?mBXqBzqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeyEJvhFGiBFmB/sBx?pB0pBzqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeKEJvhFRgBGiBFmB/?sB0qBzpB,v115@FhB8HeB8EeA8BeC8DeB8AeB8Jex/IvhF/pBUlBFmBT?nByvBGsB
TSOIJZL,O,X,O,O,X,X,X,X,X,X
TSOIZLJ,O,O,O,O,O,O,O,X,X,O
TSOIZJL,O,O,O,O,O,X,O,X,X,O
TSOLIJZ,O,X,O,O,X,O,X,X,X,X
TSOLIZJ,O,O,O,O,O,O,O,X,X,X
TSOLJIZ,O,X,O,O,X,O,X,X,X,X
TSOLJZI,O,X,O,O,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,O,O,O,X,X,O
TSOLZJI,O,O,O,O,O,X,O,X,X,O
TSOJILZ,O,X,O,O,X,O,X,O,X,X
TSOJIZL,O,X,O,O,X,X,X,X,X,X
TSOJLIZ,O,X,O,O,X,O,X,X,X,X
TSOJLZI,O,X,O,O,X,X,X,X,X,X
TSOJZIL,O,X,O,O,X,X,X,X,X,O
TSOJZLI,O,X,O,O,X,X,X,X,O,O
TSOZILJ,O,O,O,O,O,O,O,X,X,O
TSOZIJL,O,O,O,O,O,X,O,X,X,O
TSOZLIJ,O,O,O,O,O,O,O,X,O,O
TSOZLJI,O,O,O,O,O,X,O,X,O,O
TSOZJIL,O,O,O,O,O,X,O,X,X,O
TSOZJLI,O,O,O,O,O,X,O,X,O,O
TZILJSO,O,O,X,X,X,X,X,X,O,X
TZILJOS,X,O,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,O,X,O,O,O,X
TZILSOJ,O,O,X,X,O,O,O,X,O,X
TZILOJS,O,O,X,X,X,X,X,X,X,X
TZILOSJ,O,O,O,X,O,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,X,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,O,X,O,O,O,X
TZISLOJ,O,O,X,X,O,O,O,X,O,X
TZISJLO,O,O,X,X,O,X,O,O,O,X
TZISJOL,O,O,X,X,O,X,O,X,X,X
TZISOLJ,O,O,X,X,O,O,O,X,X,X
TZISOJL,O,O,X,X,O,X,O,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,O,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,O,X,X,X,X,X
TZIOSJL,O,O,O,X,O,X,X,X,X,X
TZLIJSO,O,O,X,X,X,X,X,X,O,X
TZLIJOS,X,O,X,X,X,X,X,X,X,X
TZLISJO,O,O,X,X,O,X,O,X,O,X
TZLISOJ,O,O,X,X,O,O,O,X,O,X
TZLIOJS,O,O,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,O,X,O,X,X,X,O,X
TZLJISO,O,O,X,X,X,X,X,X,O,X
TZLJIOS,X,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,X,X,X,X,X,X,O,X
TZLJSOI,O,O,X,X,X,X,X,X,O,X
TZLJOIS,X,O,X,X,X,X,X,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X,X,X
TZLSIJO,O,O,X,X,O,X,O,X,O,X
TZLSIOJ,O,O,X,X,O,O,O,X,O,X
TZLSJIO,O,O,X,X,O,X,O,X,O,X
TZLSJOI,O,O,X,X,O,X,O,X,O,X
TZLSOIJ,O,O,X,X,O,O,O,X,O,X
TZLSOJI,O,O,X,X,O,X,O,X,O,X
TZLOIJS,O,O,X,X,X,X,X,X,X,X
TZLOISJ,O,O,O,X,O,X,X,X,O,X
TZLOJIS,O,O,X,X,X,X,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,O,X,O,X,X,X,O,X
TZLOSJI,O,O,O,X,O,X,X,X,O,X
TZJILSO,O,O,X,X,X,X,X,X,X,X
TZJILOS,X,O,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,X,X,X,X,X
TZJIOSL,X,O,X,X,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,X,X,X,O,X
TZJLIOS,X,O,X,X,X,X,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X,X,O,X
TZJLSOI,O,O,X,X,X,X,X,X,O,X
TZJLOIS,X,O,X,X,X,X,X,X,X,X
TZJLOSI,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,X,X,X,O,X
TZJSIOL,O,O,X,X,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X,O,X
TZJSLOI,O,O,X,X,X,X,X,X,O,X
TZJSOIL,O,O,X,X,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X,O,X
TZJOILS,X,O,X,X,X,X,X,X,X,X
TZJOISL,X,O,X,X,X,X,X,X,X,X
TZJOLIS,X,O,X,X,X,X,X,X,X,X
TZJOLSI,X,O,X,X,X,X,X,X,X,X
TZJOSIL,X,O,X,X,X,X,X,X,X,X
TZJOSLI,X,O,X,X,X,X,X,X,X,X
TZSILJO,O,O,X,X,O,X,O,O,O,X
TZSILOJ,O,O,X,X,O,O,O,X,O,O
TZSIJLO,O,O,X,X,O,X,O,O,O,X
TZSIJOL,O,O,X,X,O,X,O,X,X,O
TZSIOLJ,O,O,X,X,O,O,O,X,X,O
TZSIOJL,O,O,X,X,O,X,O,X,X,O
TZSLIJO,O,O,X,X,O,X,O,X,O,X
TZSLIOJ,O,O,X,X,O,O,O,X,O,O
TZSLJIO,O,O,X,X,O,X,O,X,O,X
TZSLJOI,O,O,X,X,O,X,O,X,O,X
TZSLOIJ,O,O,X,X,O,O,O,X,O,O
TZSLOJI,O,O,X,X,O,X,O,X,O,O
TZSJILO,O,O,X,X,O,X,O,O,O,X
TZSJIOL,O,O,X,X,O,X,O,X,X,O
TZSJLIO,O,O,X,X,O,X,O,X,O,X
TZSJLOI,O,O,X,X,O,X,O,X,O,X
TZSJOIL,O,O,X,X,O,X,O,X,X,O
TZSJOLI,O,O,X,X,O,X,O,X,O,O
TZSOILJ,O,O,X,X,O,O,O,X,X,O
TZSOIJL,O,O,X,X,O,X,O,X,X,O
TZSOLIJ,O,O,X,X,O,O,O,X,O,O
TZSOLJI,O,O,X,X,O,X,O,X,O,O
TZSOJIL,O,O,X,X,O,X,O,X,X,O
TZSOJLI,O,O,X,X,O,X,O,X,O,O
TZOILJS,O,O,X,X,X,X,X,X,X,X
TZOILSJ,O,O,O,X,O,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,O,X,X,X,X,X
TZOISJL,O,O,O,X,O,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,X,O,X,X,X,O,X
TZOLJIS,O,O,X,X,X,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,O,X,X,X,O,X
TZOLSJI,O,O,O,X,O,X,X,X,O,X
TZOJILS,O,O,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X,X,O
TZOSIJL,O,O,O,X,O,X,X,X,X,O
TZOSLIJ,O,O,O,X,O,X,X,X,O,O
TZOSLJI,O,O,O,X,O,X,X,X,O,O
TZOSJIL,O,O,O,X,O,X,X,X,X,O
TZOSJLI,O,O,O,X,O,X,X,X,O,O
TOILJSZ,O,X,X,O,X,X,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X,X,X
TOILSJZ,O,X,O,O,X,O,X,O,X,X
TOILSZJ,O,X,O,O,O,O,O,X,X,X
TOILZJS,O,X,X,X,X,X,X,X,X,X
TOILZSJ,O,X,O,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,X,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,X,X
TOIJZLS,O,X,X,O,X,X,X,X,X,X
TOIJZSL,O,X,X,O,X,X,X,X,X,X
TOISLJZ,O,X,O,O,X,O,X,O,X,X
TOISLZJ,O,X,O,O,O,O,O,X,X,X
TOISJLZ,O,X,O,O,X,O,X,O,X,X
TOISJZL,O,X,O,O,X,X,X,X,X,X
TOISZLJ,O,X,O,O,O,O,O,X,X,O
TOISZJL,O,X,O,O,O,X,O,X,X,O
TOIZLJS,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,O,O,X,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,X,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,O,X,X,X,X,X,X
TOIZSJL,O,X,O,O,X,X,X,X,X,X
TOLIJSZ,O,X,X,O,X,X,X,X,X,X
TOLIJZS,O,X,X,X,X,X,X,X,X,X
TOLISJZ,O,X,O,O,X,O,X,X,X,X
TOLISZJ,O,X,O,O,O,O,O,X,X,X
TOLIZJS,O,X,X,X,X,X,X,X,X,X
TOLIZSJ,O,X,O,O,X,X,X,X,X,X
TOLJISZ,O,X,X,O,X,X,X,X,X,X
TOLJIZS,O,X,X,X,X,X,X,X,X,X
TOLJSIZ,O,X,X,O,X,X,X,X,X,X
TOLJSZI,O,X,X,O,X,X,X,X,X,X
TOLJZIS,O,X,X,X,X,X,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,O,X,O,X,X,X,X
TOLSIZJ,O,X,O,O,O,O,O,X,X,X
TOLSJIZ,O,X,O,O,X,O,X,X,X,X
TOLSJZI,O,X,O,O,X,X,X,X,X,X
TOLSZIJ,O,X,O,O,O,O,O,X,X,O
TOLSZJI,O,X,O,O,O,X,O,X,X,O
TOLZIJS,O,X,X,X,X,X,X,X,X,X
TOLZISJ,O,X,O,O,X,X,X,X,X,X
TOLZJIS,O,X,X,X,X,X,X,X,X,X
TOLZJSI,O,X,X,X,X,X,X,X,X,X
TOLZSIJ,O,X,O,O,X,X,X,X,X,X
TOLZSJI,O,X,O,O,X,X,X,X,X,X
TOJILSZ,O,X,X,O,X,X,X,X,X,X
TOJILZS,O,X,X,O,X,X,X,X,X,X
TOJISLZ,O,X,X,O,X,X,X,X,X,X
TOJISZL,O,X,X,O,X,X,X,X,X,X
TOJIZLS,O,X,X,O,X,X,X,X,X,X
TOJIZSL,O,X,X,O,X,X,X,X,X,X
TOJLISZ,O,X,X,O,X,X,X,X,X,X
TOJLIZS,O,X,X,O,X,X,X,X,X,X
TOJLSIZ,O,X,X,O,X,X,X,X,X,X
TOJLSZI,O,X,X,O,X,X,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X,X,X,X
TOJLZSI,O,X,X,O,X,X,X,X,X,X
TOJSILZ,O,X,X,O,X,X,X,X,X,X
TOJSIZL,O,X,X,O,X,X,X,X,X,X
TOJSLIZ,O,X,X,O,X,X,X,X,X,X
TOJSLZI,O,X,X,O,X,X,X,X,X,X
TOJSZIL,O,X,X,O,X,X,X,X,X,O
TOJSZLI,O,X,X,O,X,X,X,X,X,O
TOJZILS,O,X,X,O,X,X,X,X,X,X
TOJZISL,O,X,X,O,X,X,X,X,X,X
TOJZLIS,O,X,X,O,X,X,X,X,X,X
TOJZLSI,O,X,X,O,X,X,X,X,X,X
TOJZSIL,O,X,X,O,X,X,X,X,X,X
TOJZSLI,O,X,X,O,X,X,X,X,X,X
TOSILJZ,O,X,O,O,X,O,X,O,X,X
TOSILZJ,O,X,O,O,O,O,O,X,X,X
TOSIJLZ,O,X,O,O,X,O,X,O,X,X
TOSIJZL,O,X,O,O,X,X,X,X,X,X
TOSIZLJ,O,X,O,O,O,O,O,X,X,O
TOSIZJL,O,X,O,O,O,X,O,X,X,O
TOSLIJZ,O,X,O,O,X,O,X,X,X,X
TOSLIZJ,O,X,O,O,O,O,O,X,X,X
TOSLJIZ,O,X,O,O,X,O,X,X,X,X
TOSLJZI,O,X,O,O,X,X,X,X,X,X
TOSLZIJ,O,X,O,O,O,O,O,X,X,O
TOSLZJI,O,X,O,O,O,X,O,X,X,O
TOSJILZ,O,X,O,O,X,O,X,O,X,X
TOSJIZL,O,X,O,O,X,X,X,X,X,X
TOSJLIZ,O,X,O,O,X,O,X,X,X,X
TOSJLZI,O,X,O,O,X,X,X,X,X,X
TOSJZIL,O,X,O,O,X,X,X,X,X,O
TOSJZLI,O,X,O,O,X,X,X,X,O,O
TOSZILJ,O,X,O,O,O,O,O,X,X,O
TOSZIJL,O,X,O,O,O,X,O,X,X,O
TOSZLIJ,O,X,O,O,O,O,O,X,O,O
TOSZLJI,O,X,O,O,O,X,O,X,O,O
TOSZJIL,O,X,O,O,O,X,O,X,X,O
TOSZJLI,O,X,O,O,O,X,O,X,O,O
TOZILJS,O,X,X,X,X,X,X,X,X,X
TOZILSJ,O,X,O,O,X,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X,X,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X,X,X
TOZISLJ,O,X,O,O,X,X,X,X,X,X
TOZISJL,O,X,O,O,X,X,X,X,X,X
TOZLIJS,O,X,X,X,X,X,X,X,X,X
TOZLISJ,O,X,O,O,X,X,X,X,O,X
TOZLJIS,O,X,X,X,X,X,X,X,X,X
TOZLJSI,O,X,X,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,O,X,X,X,X,O,X
TOZLSJI,O,X,O,O,X,X,X,X,O,X
TOZJILS,O,X,X,X,X,X,X,X,X,X
TOZJISL,O,X,X,X,X,X,X,X,X,X
TOZJLIS,O,X,X,X,X,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X,X,X,X,X
TOZSILJ,O,X,O,O,X,X,X,X,X,O
TOZSIJL,O,X,O,O,X,X,X,X,X,O
TOZSLIJ,O,X,O,O,X,X,X,X,O,O
TOZSLJI,O,X,O,O,X,X,X,X,O,O
TOZSJIL,O,X,O,O,X,X,X,X,X,O
TOZSJLI,O,X,O,O,X,X,X,X,O,O
ITLJSZO,O,O,X,O,O,X,O,O,X,X
ITLJSOZ,O,O,X,O,X,O,X,O,X,X
ITLJZSO,O,O,X,O,X,X,X,X,X,X
ITLJZOS,X,O,X,O,X,X,X,X,X,X
ITLJOSZ,O,O,X,O,X,X,X,X,X,X
ITLJOZS,O,X,X,O,X,X,X,X,X,X
ITLSJZO,O,O,X,O,O,X,O,O,X,X
ITLSJOZ,O,X,X,O,X,O,X,O,X,X
ITLSZJO,O,O,X,O,O,X,O,O,X,X
ITLSZOJ,O,O,X,O,O,O,O,X,X,X
ITLSOJZ,O,X,O,O,X,O,X,O,X,X
ITLSOZJ,O,O,O,O,O,O,O,X,X,X
ITLZJSO,O,O,X,X,X,X,X,X,X,X
ITLZJOS,X,O,X,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,O,X,O,O,X,X
ITLZSOJ,O,O,X,X,O,O,O,X,X,X
ITLZOJS,O,O,X,X,X,X,X,X,X,X
ITLZOSJ,O,O,O,X,O,X,X,X,X,X
ITLOJSZ,O,X,X,O,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,O,X,O,X,O,X,X
ITLOSZJ,O,X,O,O,O,O,O,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,O,O,X,X,X,X,X,X
ITJLSZO,O,O,X,O,O,X,O,O,X,X
ITJLSOZ,O,O,X,O,X,O,X,O,X,X
ITJLZSO,O,O,X,O,X,X,X,X,X,X
ITJLZOS,X,O,X,O,X,X,X,X,X,X
ITJLOSZ,O,O,X,O,X,X,X,X,X,X
ITJLOZS,O,X,X,O,X,X,X,X,X,X
ITJSLZO,O,O,X,O,O,X,O,O,X,X
ITJSLOZ,O,O,X,O,X,O,X,O,X,X
ITJSZLO,O,O,X,O,O,X,O,O,X,X
ITJSZOL,O,O,X,O,O,X,O,X,X,X
ITJSOLZ,O,O,X,O,X,O,X,O,X,X
ITJSOZL,O,O,X,O,X,X,X,X,X,X
ITJZLSO,O,O,X,O,X,X,X,X,X,X
ITJZLOS,X,O,X,O,X,X,X,X,X,X
ITJZSLO,O,O,X,O,X,X,X,X,X,X
ITJZSOL,O,O,X,O,X,X,X,X,X,X
ITJZOLS,X,O,X,O,X,X,X,X,X,X
ITJZOSL,X,O,X,O,X,X,X,X,X,X
ITJOLSZ,O,O,X,O,X,X,X,X,X,X
ITJOLZS,O,X,X,O,X,X,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X,X,X,X
ITJOSZL,O,O,X,O,X,X,X,X,X,X
ITJOZLS,O,X,X,O,X,X,X,X,X,X
ITJOZSL,O,X,X,O,X,X,X,X,X,X
ITSLJZO,O,O,X,O,O,X,O,O,X,X
ITSLJOZ,O,X,X,O,X,O,X,O,X,X
ITSLZJO,O,O,X,O,O,X,O,O,X,X
ITSLZOJ,O,O,X,O,O,O,O,X,X,X
ITSLOJZ,O,X,O,O,X,O,X,O,X,X
ITSLOZJ,O,O,O,O,O,O,O,X,X,X
ITSJLZO,O,O,X,O,O,X,O,O,X,X
ITSJLOZ,O,O,X,O,X,O,X,O,X,X
ITSJZLO,O,O,X,O,O,X,O,O,O,X
ITSJZOL,O,O,X,O,O,X,O,X,X,X
ITSJOLZ,O,O,X,O,X,O,X,O,X,X
ITSJOZL,O,O,X,O,X,X,X,X,X,X
ITSZLJO,O,O,X,O,O,X,O,O,O,X
ITSZLOJ,O,O,X,O,O,O,O,X,O,O
ITSZJLO,O,O,X,O,O,X,O,O,O,X
ITSZJOL,O,O,X,O,O,X,O,X,X,O
ITSZOLJ,O,O,X,O,O,O,O,X,X,O
ITSZOJL,O,O,X,O,O,X,O,X,X,O
ITSOLJZ,O,X,O,O,X,O,X,O,X,X
ITSOLZJ,O,O,O,O,O,O,O,X,X,X
ITSOJLZ,O,X,O,O,X,O,X,O,X,X
ITSOJZL,O,X,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,O,O,O,O,O,X,X,O
ITSOZJL,O,O,O,O,O,X,O,X,X,O
ITZLJSO,O,O,X,X,X,X,X,X,O,X
ITZLJOS,X,O,X,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,O,X,O,O,O,X
ITZLSOJ,O,O,X,X,O,O,O,X,O,X
ITZLOJS,O,O,X,X,X,X,X,X,X,X
ITZLOSJ,O,O,O,X,O,X,X,X,O,X
ITZJLSO,O,O,X,X,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,X,X,X,X,X
ITZJOSL,X,O,X,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,O,X,O,O,O,X
ITZSLOJ,O,O,X,X,O,O,O,X,O,X
ITZSJLO,O,O,X,X,O,X,O,O,O,X
ITZSJOL,O,O,X,X,O,X,O,X,X,X
ITZSOLJ,O,O,X,X,O,O,O,X,X,X
ITZSOJL,O,O,X,X,O,X,O,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,X,X,X
ITZOJLS,O,O,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,O,X,X,X,X,X
ITZOSJL,O,O,O,X,O,X,X,X,X,X
ITOLJSZ,O,X,X,O,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,O,X,O,X,O,X,X
ITOLSZJ,O,X,O,O,O,O,O,X,X,X
ITOLZJS,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,O,X,O,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,X,X,X,X
ITOJLZS,O,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,X,O,X,X,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X,X,X
ITOJZLS,O,X,X,O,X,X,X,X,X,X
ITOJZSL,O,X,X,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,O,X,O,X,O,X,X
ITOSLZJ,O,X,O,O,O,O,O,X,X,X
ITOSJLZ,O,X,O,O,X,O,X,O,X,X
ITOSJZL,O,X,O,O,X,X,X,X,X,X
ITOSZLJ,O,X,O,O,O,O,O,X,X,O
ITOSZJL,O,X,O,O,O,X,O,X,X,O
ITOZLJS,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,O,O,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,O,O,X,X,X,X,X,X
ITOZSJL,O,X,O,O,X,X,X,X,X,X
ILTJSZO,O,O,X,O,O,X,O,O,X,X
ILTJSOZ,O,O,X,O,X,O,X,O,X,X
ILTJZSO,O,O,X,O,X,X,X,X,X,X
ILTJZOS,X,O,X,O,X,X,X,X,X,X
ILTJOSZ,O,O,X,O,X,X,X,X,X,X
ILTJOZS,O,X,X,O,X,X,X,X,X,X
ILTSJZO,O,O,X,O,O,X,O,O,X,X
ILTSJOZ,O,X,X,O,X,O,X,O,X,X
ILTSZJO,O,O,X,O,O,X,O,O,X,X
ILTSZOJ,O,O,X,O,O,O,O,X,X,X
ILTSOJZ,O,X,O,O,X,O,X,O,X,X
ILTSOZJ,O,O,O,O,O,O,O,X,X,X
ILTZJSO,O,O,X,X,X,X,X,X,X,X
ILTZJOS,X,O,X,X,X,X,X,X,X,X
ILTZSJO,O,O,X,X,O,X,O,O,X,X
ILTZSOJ,O,O,X,X,O,O,O,X,X,X
ILTZOJS,O,O,X,X,X,X,X,X,X,X
ILTZOSJ,O,O,O,X,O,X,X,X,X,X
ILTOJSZ,O,X,X,O,X,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,O,X,O,X,O,X,X
ILTOSZJ,O,X,O,O,O,O,O,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,O,O,X,X,X,X,X,X
ILJTSZO,O,O,X,O,O,X,O,O,X,X
ILJTSOZ,O,O,X,O,X,O,X,O,X,X
ILJTZSO,O,O,X,O,X,X,X,X,X,X
ILJTZOS,X,O,X,O,X,X,X,X,X,X
ILJTOSZ,O,O,X,O,X,X,X,X,X,X
ILJTOZS,O,X,X,O,X,X,X,X,X,X
ILJSTZO,X,O,X,O,O,X,O,O,X,X
ILJSTOZ,X,O,X,O,X,O,X,O,X,X
ILJSZTO,X,O,X,O,O,X,O,O,X,X
ILJSZOT,X,O,X,O,O,X,O,X,X,X
ILJSOTZ,X,O,O,O,X,O,X,O,X,X
ILJSOZT,X,O,O,O,X,X,X,X,X,X
ILJZTSO,X,O,X,O,X,X,X,X,X,X
ILJZTOS,X,O,X,O,X,X,X,X,X,X
ILJZSTO,X,O,X,O,O,X,X,X,X,X
ILJZSOT,X,O,X,O,O,X,X,X,X,X
ILJZOTS,X,O,X,O,X,X,X,X,X,X
ILJZOST,X,O,O,O,O,X,X,X,X,X
ILJOTSZ,O,O,X,O,X,X,X,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X,X,X
ILJOSTZ,O,O,O,O,X,O,X,X,X,X
ILJOSZT,X,O,O,O,X,X,X,X,X,X
ILJOZTS,O,O,X,O,X,X,X,X,X,X
ILJOZST,X,O,O,O,X,X,X,X,X,X
ILSTJZO,O,O,X,O,O,X,O,O,X,X
ILSTJOZ,O,X,X,O,X,O,X,O,X,X
ILSTZJO,O,O,X,O,O,X,O,O,X,X
ILSTZOJ,O,O,X,O,O,O,O,X,X,X
ILSTOJZ,O,X,O,O,X,O,X,O,X,X
ILSTOZJ,O,O,O,O,O,O,O,X,X,X
ILSJTZO,X,O,X,O,O,X,O,O,X,X
ILSJTOZ,X,O,X,O,X,O,X,O,X,X
ILSJZTO,X,O,X,O,O,X,O,O,O,X
ILSJZOT,X,O,X,O,O,X,O,X,X,X
ILSJOTZ,X,O,O,O,X,O,X,O,X,X
ILSJOZT,X,O,O,O,X,X,X,X,X,X
ILSZTJO,X,O,X,O,O,X,O,O,O,X
ILSZTOJ,X,O,X,O,O,O,O,X,O,X
ILSZJTO,X,O,X,O,O,X,O,O,O,X
ILSZJOT,X,O,X,O,O,X,O,X,X,X
ILSZOTJ,X,O,O,O,O,O,O,X,X,X
ILSZOJT,X,O,O,O,O,X,O,X,X,X
ILSOTJZ,O,X,O,O,X,O,X,O,X,X
ILSOTZJ,O,O,O,O,O,O,O,X,X,X
ILSOJTZ,O,X,O,O,X,O,X,O,X,X
ILSOJZT,X,X,O,O,X,X,X,X,X,X
ILSOZTJ,X,O,O,O,O,O,O,X,X,X
ILSOZJT,X,O,O,O,O,X,O,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X,O,X
ILZTJOS,X,O,X,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,O,X,O,O,O,X
ILZTSOJ,O,O,X,X,O,O,O,X,O,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,O,O,X,O,X,X,X,O,X
ILZJTSO,X,O,X,O,X,X,X,X,X,X
ILZJTOS,X,O,X,O,X,X,X,X,X,X
ILZJSTO,X,O,X,O,O,X,X,X,X,X
ILZJSOT,X,O,X,O,O,X,X,X,X,X
ILZJOTS,X,O,X,O,X,X,X,X,X,X
ILZJOST,X,O,O,O,O,X,X,X,X,X
ILZSTJO,X,O,X,O,O,X,O,O,O,X
ILZSTOJ,X,O,X,O,O,O,O,X,O,X
ILZSJTO,X,O,X,O,O,X,O,O,O,X
ILZSJOT,X,O,X,O,O,X,O,X,X,X
ILZSOTJ,X,O,O,O,O,O,O,X,X,X
ILZSOJT,X,O,O,O,O,X,O,X,X,X
ILZOTJS,O,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,O,O,O,O,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,X,X,X,X
ILZOJST,X,O,O,X,O,X,X,X,X,X
ILZOSTJ,X,O,O,O,O,O,X,X,X,X
ILZOSJT,X,O,O,O,O,X,X,X,X,X
