sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB
IJTSZOL,O,O,O
IJTSOLZ,O,O,O
IJTSOZL,O,O,O
IJTZLSO,O,O,O
IJTZLOS,O,O,O
IJTZSLO,O,O,O
IJTZSOL,O,O,O
IJTZOLS,O,O,O
IJTZOSL,O,O,O
IJTOLSZ,O,O,O
IJTOLZS,O,O,O
IJTOSLZ,O,O,O
IJTOSZL,O,O,O
IJTOZLS,O,O,O
IJTOZSL,O,O,O
IJLTSZO,O,O,O
IJLTSOZ,O,O,O
IJLTZSO,O,O,O
IJLTZOS,O,O,O
IJLTOSZ,O,O,O
IJLTOZS,O,O,O
IJLSTZO,O,O,O
IJLSTOZ,O,O,O
IJLSZTO,O,O,O
IJLSZOT,O,O,O
IJLSOTZ,O,O,O
IJLSOZT,O,O,O
IJLZTSO,O,X,O
IJLZTOS,O,X,O
IJLZSTO,O,X,O
IJLZSOT,O,X,O
IJLZOTS,O,X,O
IJLZOST,O,X,O
IJLOTSZ,O,O,O
IJLOTZS,O,O,O
IJLOSTZ,O,O,O
IJLOSZT,O,O,O
IJLOZTS,O,X,O
IJLOZST,O,X,O
IJSTLZO,O,O,O
IJSTLOZ,O,O,O
IJSTZLO,O,O,O
IJSTZOL,O,O,O
IJSTOLZ,O,O,O
IJSTOZL,O,O,O
IJSLTZO,O,O,O
IJSLTOZ,O,O,O
IJSLZTO,O,O,O
IJSLZOT,O,O,O
IJSLOTZ,O,O,O
IJSLOZT,O,O,O
IJSZTLO,O,O,O
IJSZTOL,O,O,O
IJSZLTO,O,O,O
IJSZLOT,O,O,O
IJSZOTL,O,O,O
IJSZOLT,O,O,O
IJSOTLZ,O,O,O
IJSOTZL,O,O,O
IJSOLTZ,O,O,O
IJSOLZT,O,O,O
IJSOZTL,O,O,O
IJSOZLT,O,O,O
IJZTLSO,O,X,O
IJZTLOS,O,X,O
IJZTSLO,O,X,O
IJZTSOL,O,X,O
IJZTOLS,O,X,O
IJZTOSL,O,X,O
IJZLTSO,O,X,O
IJZLTOS,O,X,O
IJZLSTO,O,X,O
IJZLSOT,O,X,O
IJZLOTS,O,X,O
IJZLOST,O,X,O
IJZSTLO,O,X,O
IJZSTOL,O,X,O
IJZSLTO,O,X,O
IJZSLOT,O,X,O
IJZSOTL,O,X,O
IJZSOLT,O,X,O
IJZOTLS,O,X,O
IJZOTSL,O,X,O
IJZOLTS,O,X,O
IJZOLST,O,X,O
IJZOSTL,O,X,O
IJZOSLT,O,X,O
IJOTLSZ,O,O,O
IJOTLZS,O,O,O
IJOTSLZ,O,O,O
IJOTSZL,O,O,O
IJOTZLS,O,O,O
IJOTZSL,O,O,O
IJOLTSZ,O,O,O
IJOLTZS,O,O,O
IJOLSTZ,O,O,O
IJOLSZT,O,O,O
IJOLZTS,O,X,O
IJOLZST,O,X,O
IJOSTLZ,O,O,O
IJOSTZL,O,O,O
IJOSLTZ,O,O,O
IJOSLZT,O,O,O
IJOSZTL,O,O,O
IJOSZLT,O,O,O
IJOZTLS,O,X,O
IJOZTSL,O,X,O
IJOZLTS,O,X,O
IJOZLST,O,X,O
IJOZSTL,O,X,O
IJOZSLT,O,X,O
ISTLJZO,O,O,X
ISTLJOZ,O,O,X
ISTLZJO,O,O,X
ISTLZOJ,O,O,X
ISTLOJZ,O,O,X
ISTLOZJ,O,O,X
ISTJLZO,O,O,X
ISTJLOZ,O,O,X
ISTJZLO,O,O,X
ISTJZOL,O,O,X
ISTJOLZ,O,O,X
ISTJOZL,O,O,X
ISTZLJO,O,O,X
ISTZLOJ,O,O,X
ISTZJLO,O,O,X
ISTZJOL,O,O,X
ISTZOLJ,O,O,X
ISTZOJL,O,O,X
ISTOLJZ,O,O,X
ISTOLZJ,O,O,X
ISTOJLZ,O,O,X
ISTOJZL,O,O,X
ISTOZLJ,O,O,X
ISTOZJL,O,O,X
ISLTJZO,O,O,O
ISLTJOZ,O,O,O
ISLTZJO,O,O,O
ISLTZOJ,O,O,O
ISLTOJZ,O,O,O
ISLTOZJ,O,O,O
ISLJTZO,O,O,O
ISLJTOZ,O,O,O
ISLJZTO,O,O,O
ISLJZOT,O,O,O
ISLJOTZ,O,O,O
ISLJOZT,O,O,O
ISLZTJO,O,O,O
ISLZTOJ,O,O,O
ISLZJTO,O,O,O
ISLZJOT,O,O,O
ISLZOTJ,O,O,O
ISLZOJT,O,O,O
ISLOTJZ,O,O,O
ISLOTZJ,O,O,O
ISLOJTZ,O,O,O
ISLOJZT,O,O,O
ISLOZTJ,O,O,O
ISLOZJT,O,O,O
ISJTLZO,O,O,O
ISJTLOZ,O,O,O
ISJTZLO,O,O,O
ISJTZOL,O,O,O
ISJTOLZ,O,O,O
ISJTOZL,O,O,O
ISJLTZO,O,O,O
ISJLTOZ,O,O,O
ISJLZTO,O,O,O
ISJLZOT,O,O,O
ISJLOTZ,O,O,O
ISJLOZT,O,O,O
ISJZTLO,O,O,O
ISJZTOL,O,O,O
ISJZLTO,O,O,O
ISJZLOT,O,O,O
ISJZOTL,O,O,O
ISJZOLT,O,O,O
ISJOTLZ,O,O,O
ISJOTZL,O,O,O
ISJOLTZ,O,O,O
ISJOLZT,O,O,O
ISJOZTL,O,O,O
ISJOZLT,O,O,O
ISZTLJO,O,O,O
ISZTLOJ,O,O,O
ISZTJLO,O,O,X
ISZTJOL,O,O,X
ISZTOLJ,O,O,O
ISZTOJL,O,O,X
ISZLTJO,O,O,O
ISZLTOJ,O,O,O
ISZLJTO,O,O,O
ISZLJOT,O,O,O
ISZLOTJ,O,O,O
ISZLOJT,O,O,O
ISZJTLO,O,O,O
ISZJTOL,O,O,O
ISZJLTO,O,O,O
ISZJLOT,O,O,O
ISZJOTL,O,O,O
ISZJOLT,O,O,O
ISZOTLJ,O,O,O
ISZOTJL,O,O,X
ISZOLTJ,O,O,O
ISZOLJT,O,O,O
ISZOJTL,O,O,O
ISZOJLT,O,O,O
ISOTLJZ,O,O,X
ISOTLZJ,O,O,X
ISOTJLZ,O,O,X
ISOTJZL,O,O,X
ISOTZLJ,O,O,X
ISOTZJL,O,O,X
ISOLTJZ,O,O,O
ISOLTZJ,O,O,O
ISOLJTZ,O,O,O
ISOLJZT,O,O,O
ISOLZTJ,O,O,O
ISOLZJT,O,O,O
ISOJTLZ,O,O,O
ISOJTZL,O,O,O
ISOJLTZ,O,O,O
ISOJLZT,O,O,O
ISOJZTL,O,O,O
ISOJZLT,O,O,O
ISOZTLJ,O,O,O
ISOZTJL,O,O,X
ISOZLTJ,O,O,O
ISOZLJT,O,O,O
ISOZJTL,O,O,O
ISOZJLT,O,O,O
IZTLJSO,X,O,O
IZTLJOS,X,O,O
IZTLSJO,X,O,O
IZTLSOJ,X,O,O
IZTLOJS,X,O,O
IZTLOSJ,X,O,O
IZTJLSO,X,O,O
IZTJLOS,X,O,O
IZTJSLO,X,O,O
IZTJSOL,X,O,O
IZTJOLS,X,O,O
IZTJOSL,X,O,O
IZTSLJO,X,O,O
IZTSLOJ,X,O,O
IZTSJLO,X,O,X
IZTSJOL,X,O,X
IZTSOLJ,X,O,O
IZTSOJL,X,O,X
IZTOLJS,X,O,O
IZTOLSJ,X,O,O
IZTOJLS,X,O,O
IZTOJSL,X,O,O
IZTOSLJ,X,O,O
IZTOSJL,X,O,X
IZLTJSO,X,O,O
IZLTJOS,X,O,O
IZLTSJO,X,O,O
IZLTSOJ,X,O,O
IZLTOJS,X,O,O
IZLTOSJ,X,O,O
IZLJTSO,O,X,O
IZLJTOS,O,X,O
IZLJSTO,O,X,O
IZLJSOT,O,X,O
IZLJOTS,O,X,O
IZLJOST,O,X,O
IZLSTJO,O,O,O
IZLSTOJ,O,O,O
IZLSJTO,O,O,O
IZLSJOT,O,O,O
IZLSOTJ,O,O,O
IZLSOJT,O,O,O
IZLOTJS,X,O,O
IZLOTSJ,X,O,O
IZLOJTS,O,X,O
IZLOJST,O,X,O
IZLOSTJ,O,O,O
IZLOSJT,O,O,O
IZJTLSO,O,X,O
IZJTLOS,O,X,O
IZJTSLO,O,X,O
IZJTSOL,O,X,O
IZJTOLS,O,X,O
IZJTOSL,O,X,O
IZJLTSO,O,X,O
IZJLTOS,O,X,O
IZJLSTO,O,X,O
IZJLSOT,O,X,O
IZJLOTS,O,X,O
IZJLOST,O,X,O
IZJSTLO,O,X,O
IZJSTOL,O,X,O
IZJSLTO,O,X,O
IZJSLOT,O,X,O
IZJSOTL,O,X,O
IZJSOLT,O,X,O
IZJOTLS,O,X,O
IZJOTSL,O,X,O
IZJOLTS,O,X,O
IZJOLST,O,X,O
IZJOSTL,O,X,O
IZJOSLT,O,X,O
IZSTLJO,O,O,O
IZSTLOJ,O,O,O
IZSTJLO,O,O,X
IZSTJOL,O,O,X
IZSTOLJ,O,O,O
IZSTOJL,O,O,X
IZSLTJO,O,O,O
IZSLTOJ,O,O,O
IZSLJTO,O,O,O
IZSLJOT,O,O,O
IZSLOTJ,O,O,O
IZSLOJT,O,O,O
IZSJTLO,O,O,O
IZSJTOL,O,O,O
IZSJLTO,O,O,O
IZSJLOT,O,O,O
IZSJOTL,O,O,O
IZSJOLT,O,O,O
IZSOTLJ,O,O,O
IZSOTJL,O,O,X
IZSOLTJ,O,O,O
IZSOLJT,O,O,O
IZSOJTL,O,O,O
IZSOJLT,O,O,O
IZOTLJS,X,O,O
IZOTLSJ,X,O,O
IZOTJLS,X,O,O
IZOTJSL,X,O,O
IZOTSLJ,X,O,O
IZOTSJL,X,O,X
IZOLTJS,X,O,O
IZOLTSJ,X,O,O
IZOLJTS,O,X,O
IZOLJST,O,X,O
IZOLSTJ,O,O,O
IZOLSJT,O,O,O
IZOJTLS,O,X,O
IZOJTSL,O,X,O
IZOJLTS,O,X,O
IZOJLST,O,X,O
IZOJSTL,O,X,O
IZOJSLT,O,X,O
IZOSTLJ,O,O,O
IZOSTJL,O,O,X
IZOSLTJ,O,O,O
IZOSLJT,O,O,O
IZOSJTL,O,O,O
IZOSJLT,O,O,O
IOTLJSZ,O,O,O
IOTLJZS,O,O,O
IOTLSJZ,O,O,O
IOTLSZJ,X,O,O
IOTLZJS,X,O,O
IOTLZSJ,X,O,O
IOTJLSZ,O,O,O
IOTJLZS,O,O,O
IOTJSLZ,O,O,O
IOTJSZL,O,O,O
IOTJZLS,O,O,O
IOTJZSL,O,O,O
IOTSLJZ,O,O,X
IOTSLZJ,X,O,X
IOTSJLZ,O,O,X
IOTSJZL,O,O,X
IOTSZLJ,X,O,X
IOTSZJL,X,O,X
IOTZLJS,X,O,O
IOTZLSJ,X,O,O
IOTZJLS,X,O,O
IOTZJSL,X,O,O
IOTZSLJ,X,O,O
IOTZSJL,X,O,X
IOLTJSZ,O,O,O
IOLTJZS,O,O,O
IOLTSJZ,O,O,O
IOLTSZJ,X,O,O
IOLTZJS,X,O,O
IOLTZSJ,X,O,O
IOLJTSZ,O,O,O
IOLJTZS,O,O,O
IOLJSTZ,O,O,O
IOLJSZT,O,O,O
IOLJZTS,O,X,O
IOLJZST,O,X,O
IOLSTJZ,O,O,O
IOLSTZJ,O,O,O
IOLSJTZ,O,O,O
IOLSJZT,O,O,O
IOLSZTJ,O,O,O
IOLSZJT,O,O,O
IOLZTJS,X,O,O
IOLZTSJ,X,O,O
IOLZJTS,O,X,O
IOLZJST,O,X,O
IOLZSTJ,O,O,O
IOLZSJT,O,O,O
IOJTLSZ,O,O,O
IOJTLZS,O,O,O
IOJTSLZ,O,O,O
IOJTSZL,O,O,O
IOJTZLS,O,O,O
IOJTZSL,O,O,O
IOJLTSZ,O,O,O
IOJLTZS,O,O,O
IOJLSTZ,O,O,O
IOJLSZT,O,O,O
IOJLZTS,O,X,O
IOJLZST,O,X,O
IOJSTLZ,O,O,O
IOJSTZL,O,O,O
IOJSLTZ,O,O,O
IOJSLZT,O,O,O
IOJSZTL,O,O,O
IOJSZLT,O,O,O
IOJZTLS,O,X,O
IOJZTSL,O,X,O
IOJZLTS,O,X,O
IOJZLST,O,X,O
IOJZSTL,O,X,O
IOJZSLT,O,X,O
IOSTLJZ,O,O,X
IOSTLZJ,O,O,X
IOSTJLZ,O,O,X
IOSTJZL,O,O,X
IOSTZLJ,O,O,X
IOSTZJL,O,O,X
IOSLTJZ,O,O,O
IOSLTZJ,O,O,O
IOSLJTZ,O,O,O
IOSLJZT,O,O,O
IOSLZTJ,O,O,O
IOSLZJT,O,O,O
IOSJTLZ,O,O,O
IOSJTZL,O,O,O
IOSJLTZ,O,O,O
IOSJLZT,O,O,O
IOSJZTL,O,O,O
IOSJZLT,O,O,O
IOSZTLJ,O,O,O
IOSZTJL,O,O,X
IOSZLTJ,O,O,O
IOSZLJT,O,O,O
IOSZJTL,O,O,O
IOSZJLT,O,O,O
IOZTLJS,X,O,O
IOZTLSJ,X,O,O
IOZTJLS,X,O,O
IOZTJSL,X,O,O
IOZTSLJ,X,O,O
IOZTSJL,X,O,X
IOZLTJS,X,O,O
IOZLTSJ,X,O,O
IOZLJTS,O,X,O
IOZLJST,O,X,O
IOZLSTJ,O,O,O
IOZLSJT,O,O,O
IOZJTLS,O,X,O
IOZJTSL,O,X,O
IOZJLTS,O,X,O
IOZJLST,O,X,O
IOZJSTL,O,X,O
IOZJSLT,O,X,O
IOZSTLJ,O,O,O
IOZSTJL,O,O,X
IOZSLTJ,O,O,O
IOZSLJT,O,O,O
IOZSJTL,O,O,O
IOZSJLT,O,O,O
LTIJSZO,O,O,O
LTIJSOZ,O,O,O
LTIJZSO,O,O,O
LTIJZOS,O,O,O
LTIJOSZ,O,O,O
LTIJOZS,O,O,O
LTISJZO,O,O,O
LTISJOZ,O,O,O
LTISZJO,X,O,O
LTISZOJ,X,O,O
LTISOJZ,O,O,O
LTISOZJ,X,O,O
LTIZJSO,X,O,O
LTIZJOS,X,O,O
LTIZSJO,X,O,O
LTIZSOJ,X,O,O
LTIZOJS,X,O,O
LTIZOSJ,X,O,O
LTIOJSZ,O,O,O
LTIOJZS,O,O,O
LTIOSJZ,O,O,O
LTIOSZJ,X,O,O
LTIOZJS,X,O,O
LTIOZSJ,X,O,O
LTJISZO,O,O,O
LTJISOZ,O,O,O
LTJIZSO,O,O,O
LTJIZOS,O,O,O
LTJIOSZ,O,O,O
LTJIOZS,O,O,O
LTJSIZO,O,O,O
LTJSIOZ,O,O,O
LTJSZIO,O,O,O
LTJSZOI,O,O,O
LTJSOIZ,O,O,O
LTJSOZI,O,O,O
LTJZISO,O,O,O
LTJZIOS,O,O,O
LTJZSIO,O,O,O
LTJZSOI,O,O,O
LTJZOIS,O,O,O
LTJZOSI,O,O,O
LTJOISZ,O,O,O
LTJOIZS,O,O,O
LTJOSIZ,O,O,O
LTJOSZI,O,O,O
LTJOZIS,O,O,O
LTJOZSI,O,O,O
LTSIJZO,O,O,O
LTSIJOZ,O,O,O
LTSIZJO,O,O,O
LTSIZOJ,O,O,O
LTSIOJZ,O,O,O
LTSIOZJ,O,O,O
LTSJIZO,O,O,O
LTSJIOZ,O,O,O
LTSJZIO,O,O,O
LTSJZOI,O,O,O
LTSJOIZ,O,O,O
LTSJOZI,O,O,O
LTSZIJO,O,O,O
LTSZIOJ,O,O,O
LTSZJIO,O,O,O
LTSZJOI,O,O,O
LTSZOIJ,O,O,O
LTSZOJI,O,O,O
LTSOIJZ,O,O,O
LTSOIZJ,O,O,O
LTSOJIZ,O,O,O
LTSOJZI,O,O,O
LTSOZIJ,O,O,O
LTSOZJI,O,O,O
LTZIJSO,X,O,O
LTZIJOS,X,O,O
LTZISJO,X,O,O
LTZISOJ,X,O,O
LTZIOJS,X,O,O
LTZIOSJ,X,O,O
LTZJISO,O,O,O
LTZJIOS,O,O,O
LTZJSIO,O,O,O
LTZJSOI,O,O,O
LTZJOIS,O,O,O
LTZJOSI,O,O,O
LTZSIJO,O,O,O
LTZSIOJ,O,O,O
LTZSJIO,O,O,O
LTZSJOI,O,O,O
LTZSOIJ,O,O,O
LTZSOJI,O,O,O
LTZOIJS,X,O,O
LTZOISJ,X,O,O
LTZOJIS,O,O,O
LTZOJSI,O,O,O
LTZOSIJ,O,O,O
LTZOSJI,O,O,O
LTOIJSZ,O,O,O
LTOIJZS,O,O,O
LTOISJZ,O,O,O
LTOISZJ,X,O,O
LTOIZJS,X,O,O
LTOIZSJ,X,O,O
LTOJISZ,O,O,O
LTOJIZS,O,O,O
LTOJSIZ,O,O,O
LTOJSZI,O,O,O
LTOJZIS,O,O,O
LTOJZSI,O,O,O
LTOSIJZ,O,O,O
LTOSIZJ,O,O,O
LTOSJIZ,O,O,O
LTOSJZI,O,O,O
LTOSZIJ,O,O,O
LTOSZJI,O,O,O
LTOZIJS,X,O,O
LTOZISJ,X,O,O
LTOZJIS,O,O,O
LTOZJSI,O,O,O
LTOZSIJ,O,O,O
LTOZSJI,O,O,O
LITJSZO,O,O,O
LITJSOZ,O,O,O
LITJZSO,O,O,O
LITJZOS,O,O,O
LITJOSZ,O,O,O
LITJOZS,O,O,O
LITSJZO,O,O,O
LITSJOZ,O,O,O
LITSZJO,X,O,O
LITSZOJ,X,O,O
LITSOJZ,O,O,O
LITSOZJ,X,O,O
LITZJSO,X,O,O
LITZJOS,X,O,O
LITZSJO,X,O,O
LITZSOJ,X,O,O
LITZOJS,X,O,O
LITZOSJ,X,O,O
LITOJSZ,O,O,O
LITOJZS,O,O,O
LITOSJZ,O,O,O
LITOSZJ,X,O,O
LITOZJS,X,O,O
LITOZSJ,X,O,O
LIJTSZO,O,O,O
LIJTSOZ,O,O,O
LIJTZSO,O,O,O
LIJTZOS,O,O,O
LIJTOSZ,O,O,O
LIJTOZS,O,O,O
LIJSTZO,O,O,O
LIJSTOZ,O,O,O
LIJSZTO,O,O,O
LIJSZOT,O,O,O
LIJSOTZ,O,O,O
LIJSOZT,O,O,O
LIJZTSO,O,X,O
LIJZTOS,O,X,O
LIJZSTO,O,X,O
LIJZSOT,O,X,O
LIJZOTS,O,X,O
LIJZOST,O,X,O
LIJOTSZ,O,O,O
LIJOTZS,O,O,O
LIJOSTZ,O,O,O
LIJOSZT,O,O,O
LIJOZTS,O,X,O
LIJOZST,O,X,O
LISTJZO,O,O,O
LISTJOZ,O,O,O
LISTZJO,O,O,O
LISTZOJ,O,O,O
LISTOJZ,O,O,O
LISTOZJ,O,O,O
LISJTZO,O,O,O
LISJTOZ,O,O,O
LISJZTO,O,O,O
LISJZOT,O,O,O
LISJOTZ,O,O,O
LISJOZT,O,O,O
LISZTJO,O,O,O
LISZTOJ,O,O,O
LISZJTO,O,O,O
LISZJOT,O,O,O
LISZOTJ,O,O,O
LISZOJT,O,O,O
LISOTJZ,O,O,O
LISOTZJ,O,O,O
LISOJTZ,O,O,O
LISOJZT,O,O,O
LISOZTJ,O,O,O
LISOZJT,O,O,O
LIZTJSO,X,O,O
LIZTJOS,X,O,O
LIZTSJO,X,O,O
LIZTSOJ,X,O,O
LIZTOJS,X,O,O
LIZTOSJ,X,O,O
LIZJTSO,O,X,O
LIZJTOS,O,X,O
LIZJSTO,O,X,O
LIZJSOT,O,X,O
LIZJOTS,O,X,O
LIZJOST,O,X,O
LIZSTJO,O,O,O
LIZSTOJ,O,O,O
LIZSJTO,O,O,O
LIZSJOT,O,O,O
LIZSOTJ,O,O,O
LIZSOJT,O,O,O
LIZOTJS,X,O,O
LIZOTSJ,X,O,O
LIZOJTS,O,X,O
LIZOJST,O,X,O
LIZOSTJ,O,O,O
LIZOSJT,O,O,O
LIOTJSZ,O,O,O
LIOTJZS,O,O,O
LIOTSJZ,O,O,O
LIOTSZJ,X,O,O
LIOTZJS,X,O,O
LIOTZSJ,X,O,O
LIOJTSZ,O,O,O
LIOJTZS,O,O,O
LIOJSTZ,O,O,O
LIOJSZT,O,O,O
LIOJZTS,O,X,O
LIOJZST,O,X,O
LIOSTJZ,O,O,O
LIOSTZJ,O,O,O
LIOSJTZ,O,O,O
LIOSJZT,O,O,O
LIOSZTJ,O,O,O
LIOSZJT,O,O,O
LIOZTJS,X,O,O
LIOZTSJ,X,O,O
LIOZJTS,O,X,O
LIOZJST,O,X,O
LIOZSTJ,O,O,O
LIOZSJT,O,O,O
LJTISZO,O,O,O
LJTISOZ,O,O,O
LJTIZSO,O,O,O
LJTIZOS,O,O,O
LJTIOSZ,O,O,O
LJTIOZS,O,O,O
LJTSIZO,O,O,O
LJTSIOZ,O,O,O
LJTSZIO,O,O,O
LJTSZOI,O,O,O
LJTSOIZ,O,O,O
LJTSOZI,O,O,O
LJTZISO,O,O,O
LJTZIOS,O,O,O
LJTZSIO,O,O,O
LJTZSOI,O,O,O
LJTZOIS,O,O,O
LJTZOSI,O,O,O
LJTOISZ,O,O,O
LJTOIZS,O,O,O
LJTOSIZ,O,O,O
LJTOSZI,O,O,O
LJTOZIS,O,O,O
LJTOZSI,O,O,O
LJITSZO,O,O,O
LJITSOZ,O,O,O
LJITZSO,O,O,O
LJITZOS,O,O,O
LJITOSZ,O,O,O
LJITOZS,O,O,O
LJISTZO,O,O,O
LJISTOZ,O,O,O
LJISZTO,O,O,O
LJISZOT,O,O,O
LJISOTZ,O,O,O
LJISOZT,O,O,O
LJIZTSO,O,X,O
LJIZTOS,O,X,O
LJIZSTO,O,X,O
LJIZSOT,O,X,O
LJIZOTS,O,X,O
LJIZOST,O,X,O
LJIOTSZ,O,O,O
LJIOTZS,O,O,O
LJIOSTZ,O,O,O
LJIOSZT,O,O,O
LJIOZTS,O,X,O
LJIOZST,O,X,O
LJSTIZO,O,O,O
LJSTIOZ,O,O,O
LJSTZIO,O,O,O
LJSTZOI,O,O,O
LJSTOIZ,O,O,O
LJSTOZI,O,O,O
LJSITZO,O,O,O
LJSITOZ,O,O,O
LJSIZTO,O,O,O
LJSIZOT,O,O,O
LJSIOTZ,O,O,O
LJSIOZT,O,O,O
LJSZTIO,O,O,O
LJSZTOI,O,O,O
LJSZITO,O,O,O
LJSZIOT,O,O,O
LJSZOTI,O,O,O
LJSZOIT,O,O,O
LJSOTIZ,O,O,O
LJSOTZI,O,O,O
LJSOITZ,O,O,O
LJSOIZT,O,O,O
LJSOZTI,O,O,O
LJSOZIT,O,O,O
LJZTISO,O,X,O
LJZTIOS,O,X,O
LJZTSIO,O,X,O
LJZTSOI,O,X,O
LJZTOIS,O,X,O
LJZTOSI,O,X,O
LJZITSO,O,X,O
LJZITOS,O,X,O
LJZISTO,O,X,O
LJZISOT,O,X,O
LJZIOTS,O,X,O
LJZIOST,O,X,O
LJZSTIO,O,X,O
LJZSTOI,O,X,O
LJZSITO,O,X,O
LJZSIOT,O,X,O
LJZSOTI,O,X,O
LJZSOIT,O,X,O
LJZOTIS,O,X,O
LJZOTSI,O,X,O
LJZOITS,O,X,O
LJZOIST,O,X,O
LJZOSTI,O,X,O
LJZOSIT,O,X,O
LJOTISZ,O,O,O
LJOTIZS,O,O,O
LJOTSIZ,O,O,O
LJOTSZI,O,O,O
LJOTZIS,O,O,O
LJOTZSI,O,O,O
LJOITSZ,O,O,O
LJOITZS,O,O,O
LJOISTZ,O,O,O
LJOISZT,O,O,O
LJOIZTS,O,X,O
LJOIZST,O,X,O
LJOSTIZ,O,O,O
LJOSTZI,O,O,O
LJOSITZ,O,O,O
LJOSIZT,O,O,O
LJOSZTI,O,O,O
LJOSZIT,O,O,O
LJOZTIS,O,X,O
LJOZTSI,O,X,O
LJOZITS,O,X,O
LJOZIST,O,X,O
LJOZSTI,O,X,O
LJOZSIT,O,X,O
LSTIJZO,O,O,O
LSTIJOZ,O,O,O
LSTIZJO,O,O,O
LSTIZOJ,O,O,O
LSTIOJZ,O,O,O
LSTIOZJ,O,O,O
LSTJIZO,O,O,O
LSTJIOZ,O,O,O
LSTJZIO,O,O,O
LSTJZOI,O,O,O
LSTJOIZ,O,O,O
LSTJOZI,O,O,O
LSTZIJO,O,O,O
LSTZIOJ,O,O,O
LSTZJIO,O,O,O
LSTZJOI,O,O,O
LSTZOIJ,O,O,O
LSTZOJI,O,O,O
LSTOIJZ,O,O,O
LSTOIZJ,O,O,O
LSTOJIZ,O,O,O
LSTOJZI,O,O,O
LSTOZIJ,O,O,O
LSTOZJI,O,O,O
LSITJZO,O,O,O
LSITJOZ,O,O,O
LSITZJO,O,O,O
LSITZOJ,O,O,O
LSITOJZ,O,O,O
LSITOZJ,O,O,O
LSIJTZO,O,O,O
LSIJTOZ,O,O,O
LSIJZTO,O,O,O
LSIJZOT,O,O,O
LSIJOTZ,O,O,O
LSIJOZT,O,O,O
LSIZTJO,O,O,O
LSIZTOJ,O,O,O
LSIZJTO,O,O,O
LSIZJOT,O,O,O
LSIZOTJ,O,O,O
LSIZOJT,O,O,O
LSIOTJZ,O,O,O
LSIOTZJ,O,O,O
LSIOJTZ,O,O,O
LSIOJZT,O,O,O
LSIOZTJ,O,O,O
LSIOZJT,O,O,O
LSJTIZO,O,O,O
LSJTIOZ,O,O,O
LSJTZIO,O,O,O
LSJTZOI,O,O,O
LSJTOIZ,O,O,O
LSJTOZI,O,O,O
LSJITZO,O,O,O
LSJITOZ,O,O,O
LSJIZTO,O,O,O
LSJIZOT,O,O,O
LSJIOTZ,O,O,O
LSJIOZT,O,O,O
LSJZTIO,O,O,O
LSJZTOI,O,O,O
LSJZITO,O,O,O
LSJZIOT,O,O,O
LSJZOTI,O,O,O
LSJZOIT,O,O,O
LSJOTIZ,O,O,O
LSJOTZI,O,O,O
LSJOITZ,O,O,O
LSJOIZT,O,O,O
LSJOZTI,O,O,O
LSJOZIT,O,O,O
LSZTIJO,O,O,O
LSZTIOJ,O,O,O
LSZTJIO,O,O,O
LSZTJOI,O,O,O
LSZTOIJ,O,O,O
LSZTOJI,O,O,O
LSZITJO,O,O,O
LSZITOJ,O,O,O
LSZIJTO,O,O,O
LSZIJOT,O,O,O
LSZIOTJ,O,O,O
LSZIOJT,O,O,O
LSZJTIO,O,O,O
LSZJTOI,O,O,O
LSZJITO,O,O,O
LSZJIOT,O,O,O
LSZJOTI,O,O,O
LSZJOIT,O,O,O
LSZOTIJ,O,O,O
LSZOTJI,O,O,O
LSZOITJ,O,O,O
LSZOIJT,O,O,O
LSZOJTI,O,O,O
LSZOJIT,O,O,O
LSOTIJZ,O,O,O
LSOTIZJ,O,O,O
LSOTJIZ,O,O,O
LSOTJZI,O,O,O
LSOTZIJ,O,O,O
LSOTZJI,O,O,O
LSOITJZ,O,O,O
LSOITZJ,O,O,O
LSOIJTZ,O,O,O
LSOIJZT,O,O,O
LSOIZTJ,O,O,O
LSOIZJT,O,O,O
LSOJTIZ,O,O,O
LSOJTZI,O,O,O
LSOJITZ,O,O,O
LSOJIZT,O,O,O
LSOJZTI,O,O,O
LSOJZIT,O,O,O
LSOZTIJ,O,O,O
LSOZTJI,O,O,O
LSOZITJ,O,O,O
LSOZIJT,O,O,O
LSOZJTI,O,O,O
LSOZJIT,O,O,O
LZTIJSO,X,O,O
LZTIJOS,X,O,O
LZTISJO,X,O,O
LZTISOJ,X,O,O
LZTIOJS,X,O,O
LZTIOSJ,X,O,O
LZTJISO,O,O,O
LZTJIOS,O,O,O
LZTJSIO,O,O,O
LZTJSOI,O,O,O
LZTJOIS,O,O,O
LZTJOSI,O,O,O
LZTSIJO,O,O,O
LZTSIOJ,O,O,O
LZTSJIO,O,O,O
LZTSJOI,O,O,O
LZTSOIJ,O,O,O
LZTSOJI,O,O,O
LZTOIJS,X,O,O
LZTOISJ,X,O,O
LZTOJIS,O,O,O
LZTOJSI,O,O,O
LZTOSIJ,O,O,O
LZTOSJI,O,O,O
LZITJSO,X,O,O
LZITJOS,X,O,O
LZITSJO,X,O,O
