sequence,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFUgBamBFiBTjBWq?BftB,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFqkBmgBFiBTjB0l?BftB,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFukBamBUiBTlBXo?BFtB
IJTSZLO,O,X,X
IJTSZOL,O,X,X
IJTSOLZ,O,X,X
IJTSOZL,O,X,X
IJTZLSO,O,X,X
IJTZLOS,X,X,X
IJTZSLO,O,X,X
IJTZSOL,O,X,X
IJTZOLS,X,X,X
IJTZOSL,X,X,X
IJTOLSZ,X,X,X
IJTOLZS,X,X,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,X,X
IJTOZSL,X,X,X
IJLTSZO,O,X,X
IJLTSOZ,O,X,X
IJLTZSO,O,X,X
IJLTZOS,X,X,X
IJLTOSZ,X,X,X
IJLTOZS,X,X,X
IJLSTZO,O,X,X
IJLSTOZ,O,X,X
IJLSZTO,O,X,X
IJLSZOT,O,X,X
IJLSOTZ,O,X,X
IJLSOZT,O,X,X
IJLZTSO,O,X,X
IJLZTOS,X,X,X
IJLZSTO,O,X,X
IJLZSOT,O,X,X
IJLZOTS,X,X,X
IJLZOST,X,X,X
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,X
IJLOZTS,X,X,X
IJLOZST,X,X,X
IJSTLZO,O,X,X
IJSTLOZ,O,X,X
IJSTZLO,O,X,X
IJSTZOL,O,X,X
IJSTOLZ,O,X,X
IJSTOZL,O,X,X
IJSLTZO,O,X,X
IJSLTOZ,O,X,X
IJSLZTO,O,X,X
IJSLZOT,O,X,X
IJSLOTZ,O,X,X
IJSLOZT,O,X,X
IJSZTLO,O,X,X
IJSZTOL,O,X,X
IJSZLTO,O,X,X
IJSZLOT,O,X,X
IJSZOTL,O,X,X
IJSZOLT,O,X,O
IJSOTLZ,O,X,X
IJSOTZL,O,X,X
IJSOLTZ,O,X,X
IJSOLZT,O,X,O
IJSOZTL,O,X,X
IJSOZLT,O,X,O
IJZTLSO,O,X,X
IJZTLOS,X,X,X
IJZTSLO,O,X,X
IJZTSOL,O,X,X
IJZTOLS,X,X,X
IJZTOSL,X,X,X
IJZLTSO,O,X,X
IJZLTOS,X,X,X
IJZLSTO,O,X,X
IJZLSOT,O,X,X
IJZLOTS,X,X,X
IJZLOST,X,X,X
IJZSTLO,O,X,X
IJZSTOL,O,X,X
IJZSLTO,O,X,X
IJZSLOT,O,X,X
IJZSOTL,O,X,X
IJZSOLT,O,X,O
IJZOTLS,X,X,X
IJZOTSL,X,X,X
IJZOLTS,X,X,X
IJZOLST,X,X,O
IJZOSTL,X,X,X
IJZOSLT,X,X,O
IJOTLSZ,X,X,X
IJOTLZS,X,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,X
IJOTZSL,X,X,X
IJOLTSZ,X,X,X
IJOLTZS,X,X,X
IJOLSTZ,X,X,X
IJOLSZT,X,X,O
IJOLZTS,X,X,X
IJOLZST,X,X,O
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,X,X
IJOSLZT,X,X,O
IJOSZTL,X,X,X
IJOSZLT,X,X,O
IJOZTLS,X,X,X
IJOZTSL,X,X,X
IJOZLTS,X,X,X
IJOZLST,X,X,O
IJOZSTL,X,X,X
IJOZSLT,X,X,O
ISTLJZO,O,X,X
ISTLJOZ,O,X,X
ISTLZJO,X,O,X
ISTLZOJ,X,O,X
ISTLOJZ,O,X,X
ISTLOZJ,X,O,X
ISTJLZO,O,X,X
ISTJLOZ,O,X,X
ISTJZLO,O,X,X
ISTJZOL,O,X,X
ISTJOLZ,O,X,X
ISTJOZL,O,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,O,X,X
ISTOLZJ,X,O,X
ISTOJLZ,O,X,X
ISTOJZL,O,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,O,X,X
ISLTJOZ,O,X,X
ISLTZJO,X,O,X
ISLTZOJ,X,O,X
ISLTOJZ,O,X,X
ISLTOZJ,X,O,X
ISLJTZO,O,X,X
ISLJTOZ,O,X,X
ISLJZTO,O,X,X
ISLJZOT,O,X,X
ISLJOTZ,O,X,X
ISLJOZT,O,X,X
ISLZTJO,X,O,X
ISLZTOJ,X,O,X
ISLZJTO,X,O,X
ISLZJOT,X,O,X
ISLZOTJ,X,O,X
ISLZOJT,X,O,O
ISLOTJZ,O,X,X
ISLOTZJ,X,O,X
ISLOJTZ,O,X,X
ISLOJZT,O,X,O
ISLOZTJ,X,O,X
ISLOZJT,X,O,O
ISJTLZO,O,X,X
ISJTLOZ,O,X,X
ISJTZLO,O,X,X
ISJTZOL,O,X,X
ISJTOLZ,O,X,X
ISJTOZL,O,X,X
ISJLTZO,O,X,X
ISJLTOZ,O,X,X
ISJLZTO,O,X,X
ISJLZOT,O,X,X
ISJLOTZ,O,X,X
ISJLOZT,O,X,X
ISJZTLO,O,X,X
ISJZTOL,O,X,X
ISJZLTO,O,X,X
ISJZLOT,O,X,X
ISJZOTL,O,X,X
ISJZOLT,O,X,O
ISJOTLZ,O,X,X
ISJOTZL,O,X,X
ISJOLTZ,O,X,X
ISJOLZT,O,X,O
ISJOZTL,O,X,X
ISJOZLT,O,X,O
ISZTLJO,X,X,X
ISZTLOJ,X,X,X
ISZTJLO,X,X,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,X,X
ISZLTOJ,X,X,X
ISZLJTO,X,X,X
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,O
ISZJTLO,X,X,X
ISZJTOL,X,X,X
ISZJLTO,X,X,X
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,O
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,O
ISZOJTL,X,X,X
ISZOJLT,X,X,O
ISOTLJZ,O,X,X
ISOTLZJ,X,O,X
ISOTJLZ,O,X,X
ISOTJZL,O,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,O,X,X
ISOLTZJ,X,O,X
ISOLJTZ,O,X,X
ISOLJZT,O,X,O
ISOLZTJ,X,O,X
ISOLZJT,X,O,O
ISOJTLZ,O,X,X
ISOJTZL,O,X,X
ISOJLTZ,O,X,X
ISOJLZT,O,X,O
ISOJZTL,O,X,X
ISOJZLT,O,X,O
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,O
ISOZJTL,X,X,X
ISOZJLT,X,X,O
IZTLJSO,X,X,X
IZTLJOS,X,X,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,X,X
IZTLOSJ,X,X,X
IZTJLSO,X,X,X
IZTJLOS,X,X,X
IZTJSLO,X,X,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,X,X,X
IZTSLOJ,X,X,X
IZTSJLO,X,X,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,X
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,X,X
IZLJSTO,X,X,X
IZLJSOT,X,X,X
IZLJOTS,X,X,X
IZLJOST,X,X,X
IZLSTJO,X,X,X
IZLSTOJ,X,X,X
IZLSJTO,X,X,X
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,O
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,X,X
IZLOJST,X,X,O
IZLOSTJ,X,X,X
IZLOSJT,X,X,O
IZJTLSO,X,X,X
IZJTLOS,X,X,X
IZJTSLO,X,X,X
IZJTSOL,X,X,X
IZJTOLS,X,X,X
IZJTOSL,X,X,X
IZJLTSO,X,X,X
IZJLTOS,X,X,X
IZJLSTO,X,X,X
IZJLSOT,X,X,X
IZJLOTS,X,X,X
IZJLOST,X,X,X
IZJSTLO,X,X,X
IZJSTOL,X,X,X
IZJSLTO,X,X,X
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,O
IZJOTLS,X,X,X
IZJOTSL,X,X,X
IZJOLTS,X,X,X
IZJOLST,X,X,O
IZJOSTL,X,X,X
IZJOSLT,X,X,O
IZSTLJO,X,X,X
IZSTLOJ,X,X,X
IZSTJLO,X,X,X
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,X,X,X
IZSLTOJ,X,X,X
IZSLJTO,X,X,X
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,O
IZSJTLO,X,X,X
IZSJTOL,X,X,X
IZSJLTO,X,X,X
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,O
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,O
IZSOJTL,X,X,X
IZSOJLT,X,X,O
IZOTLJS,X,X,X
IZOTLSJ,X,X,X
IZOTJLS,X,X,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,X,X
IZOLJST,X,X,O
IZOLSTJ,X,X,X
IZOLSJT,X,X,O
IZOJTLS,X,X,X
IZOJTSL,X,X,X
IZOJLTS,X,X,X
IZOJLST,X,X,O
IZOJSTL,X,X,X
IZOJSLT,X,X,O
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,O
IZOSJTL,X,X,X
IZOSJLT,X,X,O
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,X,X
IOLTJZS,X,X,X
IOLTSJZ,X,X,X
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,X
IOLJTZS,X,X,X
IOLJSTZ,X,X,X
IOLJSZT,X,X,O
IOLJZTS,X,X,X
IOLJZST,X,X,O
IOLSTJZ,X,X,X
IOLSTZJ,X,X,X
IOLSJTZ,X,X,X
IOLSJZT,X,X,O
IOLSZTJ,X,X,X
IOLSZJT,X,X,O
IOLZTJS,X,X,X
IOLZTSJ,X,X,X
IOLZJTS,X,X,X
IOLZJST,X,X,O
IOLZSTJ,X,X,X
IOLZSJT,X,X,O
IOJTLSZ,X,X,X
IOJTLZS,X,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,X
IOJTZSL,X,X,X
IOJLTSZ,X,X,X
IOJLTZS,X,X,X
IOJLSTZ,X,X,X
IOJLSZT,X,X,O
IOJLZTS,X,X,X
IOJLZST,X,X,O
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,X,X
IOJSLZT,X,X,O
IOJSZTL,X,X,X
IOJSZLT,X,X,O
IOJZTLS,X,X,X
IOJZTSL,X,X,X
IOJZLTS,X,X,X
IOJZLST,X,X,O
IOJZSTL,X,X,X
IOJZSLT,X,X,O
IOSTLJZ,X,X,X
IOSTLZJ,X,X,X
IOSTJLZ,X,X,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,X,X
IOSLTZJ,X,X,X
IOSLJTZ,X,X,X
IOSLJZT,X,X,O
IOSLZTJ,X,X,X
IOSLZJT,X,X,O
IOSJTLZ,X,X,X
IOSJTZL,X,X,X
IOSJLTZ,X,X,X
IOSJLZT,X,X,O
IOSJZTL,X,X,X
IOSJZLT,X,X,O
IOSZTLJ,X,X,X
IOSZTJL,X,X,X
IOSZLTJ,X,X,X
IOSZLJT,X,X,O
IOSZJTL,X,X,X
IOSZJLT,X,X,O
IOZTLJS,X,X,X
IOZTLSJ,X,X,X
IOZTJLS,X,X,X
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,X
IOZLJTS,X,X,X
IOZLJST,X,X,O
IOZLSTJ,X,X,X
IOZLSJT,X,X,O
IOZJTLS,X,X,X
IOZJTSL,X,X,X
IOZJLTS,X,X,X
IOZJLST,X,X,O
IOZJSTL,X,X,X
IOZJSLT,X,X,O
IOZSTLJ,X,X,X
IOZSTJL,X,X,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,O
IOZSJTL,X,X,X
IOZSJLT,X,X,O
LTIJSZO,O,X,X
LTIJSOZ,O,X,X
LTIJZSO,O,X,X
LTIJZOS,X,X,X
LTIJOSZ,X,X,X
LTIJOZS,X,X,X
LTISJZO,O,X,X
LTISJOZ,O,X,X
LTISZJO,X,O,X
LTISZOJ,X,O,X
LTISOJZ,O,X,X
LTISOZJ,X,O,X
LTIZJSO,X,O,X
LTIZJOS,X,X,X
LTIZSJO,X,O,X
LTIZSOJ,X,O,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,X,X,X
LTIOJZS,X,X,X
LTIOSJZ,X,X,X
LTIOSZJ,X,X,X
LTIOZJS,X,X,X
LTIOZSJ,X,X,X
LTJISZO,O,X,X
LTJISOZ,O,X,X
LTJIZSO,O,X,X
LTJIZOS,X,X,X
LTJIOSZ,X,X,X
LTJIOZS,X,X,X
LTJSIZO,O,X,X
LTJSIOZ,O,X,X
LTJSZIO,O,X,X
LTJSZOI,O,X,X
LTJSOIZ,O,X,X
LTJSOZI,O,X,X
LTJZISO,O,X,X
LTJZIOS,X,X,X
LTJZSIO,O,X,X
LTJZSOI,O,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,X,X,X
LTJOIZS,X,X,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,O,X,X
LTSIJOZ,O,X,X
LTSIZJO,X,O,X
LTSIZOJ,X,O,X
LTSIOJZ,O,X,X
LTSIOZJ,X,O,X
LTSJIZO,O,X,X
LTSJIOZ,O,X,X
LTSJZIO,O,X,X
LTSJZOI,O,X,X
LTSJOIZ,O,X,X
LTSJOZI,O,X,X
LTSZIJO,X,O,X
LTSZIOJ,X,O,X
LTSZJIO,X,O,X
LTSZJOI,X,O,X
LTSZOIJ,X,O,X
LTSZOJI,X,O,X
LTSOIJZ,O,X,X
LTSOIZJ,X,O,X
LTSOJIZ,O,X,X
LTSOJZI,O,X,X
LTSOZIJ,X,O,X
LTSOZJI,X,O,X
LTZIJSO,X,O,X
LTZIJOS,X,X,X
LTZISJO,X,O,X
LTZISOJ,X,O,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,X,O,X
LTZJIOS,X,X,X
LTZJSIO,X,O,X
LTZJSOI,X,O,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,X,O,X
LTZSIOJ,X,O,X
LTZSJIO,X,O,X
LTZSJOI,X,O,X
LTZSOIJ,X,O,X
LTZSOJI,X,O,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,X,X
LTOIJZS,X,X,X
LTOISJZ,X,X,X
LTOISZJ,X,X,X
LTOIZJS,X,X,X
LTOIZSJ,X,X,X
LTOJISZ,X,X,X
LTOJIZS,X,X,X
LTOJSIZ,X,X,X
LTOJSZI,X,X,X
LTOJZIS,X,X,X
LTOJZSI,X,X,X
LTOSIJZ,X,X,X
LTOSIZJ,X,X,X
LTOSJIZ,X,X,X
LTOSJZI,X,X,X
LTOSZIJ,X,X,X
LTOSZJI,X,X,X
LTOZIJS,X,X,X
LTOZISJ,X,X,X
LTOZJIS,X,X,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,O,X,X
LITJSOZ,O,X,X
LITJZSO,O,X,X
LITJZOS,X,X,X
LITJOSZ,X,X,X
LITJOZS,X,X,X
LITSJZO,O,X,X
LITSJOZ,O,X,X
LITSZJO,X,O,X
LITSZOJ,X,O,X
LITSOJZ,O,X,X
LITSOZJ,X,O,X
LITZJSO,X,O,X
LITZJOS,X,X,X
LITZSJO,X,O,X
LITZSOJ,X,O,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,X,X,X
LITOJZS,X,X,X
LITOSJZ,X,X,X
LITOSZJ,X,X,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,O,X,X
LIJTSOZ,O,X,X
LIJTZSO,O,X,X
LIJTZOS,X,X,X
LIJTOSZ,X,X,X
LIJTOZS,X,X,X
LIJSTZO,O,X,X
LIJSTOZ,O,X,X
LIJSZTO,O,X,X
LIJSZOT,O,X,X
LIJSOTZ,O,X,X
LIJSOZT,O,X,X
LIJZTSO,O,X,X
LIJZTOS,X,X,X
LIJZSTO,O,X,X
LIJZSOT,O,X,X
LIJZOTS,X,X,X
LIJZOST,X,X,X
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,X,X,X
LIJOSZT,X,X,X
LIJOZTS,X,X,X
LIJOZST,X,X,X
LISTJZO,O,X,X
LISTJOZ,O,X,X
LISTZJO,X,O,X
LISTZOJ,X,O,X
LISTOJZ,O,X,X
LISTOZJ,X,O,X
LISJTZO,O,X,X
LISJTOZ,O,X,X
LISJZTO,O,X,X
LISJZOT,O,X,X
LISJOTZ,O,X,X
LISJOZT,O,X,X
LISZTJO,X,O,X
LISZTOJ,X,O,X
LISZJTO,X,O,X
LISZJOT,X,O,X
LISZOTJ,X,O,X
LISZOJT,X,O,O
LISOTJZ,O,X,X
LISOTZJ,X,O,X
LISOJTZ,O,X,X
LISOJZT,O,X,O
LISOZTJ,X,O,X
LISOZJT,X,O,O
LIZTJSO,X,O,X
LIZTJOS,X,X,X
LIZTSJO,X,O,X
LIZTSOJ,X,O,X
LIZTOJS,X,X,X
LIZTOSJ,X,X,X
LIZJTSO,X,O,X
LIZJTOS,X,X,X
LIZJSTO,X,O,X
LIZJSOT,X,O,X
LIZJOTS,X,X,X
LIZJOST,X,X,X
LIZSTJO,X,O,X
LIZSTOJ,X,O,X
LIZSJTO,X,O,X
LIZSJOT,X,O,X
LIZSOTJ,X,O,X
LIZSOJT,X,O,O
LIZOTJS,X,X,X
LIZOTSJ,X,X,X
LIZOJTS,X,X,X
LIZOJST,X,X,O
LIZOSTJ,X,X,X
LIZOSJT,X,X,O
LIOTJSZ,X,X,X
LIOTJZS,X,X,X
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,X
LIOJTZS,X,X,X
LIOJSTZ,X,X,X
LIOJSZT,X,X,O
LIOJZTS,X,X,X
LIOJZST,X,X,O
LIOSTJZ,X,X,X
LIOSTZJ,X,X,X
LIOSJTZ,X,X,X
LIOSJZT,X,X,O
LIOSZTJ,X,X,X
LIOSZJT,X,X,O
LIOZTJS,X,X,X
LIOZTSJ,X,X,X
LIOZJTS,X,X,X
LIOZJST,X,X,O
LIOZSTJ,X,X,X
LIOZSJT,X,X,O
LJTISZO,O,X,X
LJTISOZ,O,X,X
LJTIZSO,O,X,X
LJTIZOS,X,X,X
LJTIOSZ,X,X,X
LJTIOZS,X,X,X
LJTSIZO,O,X,X
LJTSIOZ,O,X,X
LJTSZIO,O,X,X
LJTSZOI,O,X,X
LJTSOIZ,O,X,X
LJTSOZI,O,X,X
LJTZISO,O,X,X
LJTZIOS,X,X,X
LJTZSIO,O,X,X
LJTZSOI,O,X,X
LJTZOIS,X,X,X
LJTZOSI,X,X,X
LJTOISZ,X,X,X
LJTOIZS,X,X,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,X,X,X
LJTOZSI,X,X,X
LJITSZO,O,X,X
LJITSOZ,O,X,X
LJITZSO,O,X,X
LJITZOS,X,X,X
LJITOSZ,X,X,X
LJITOZS,X,X,X
LJISTZO,O,X,X
LJISTOZ,O,X,X
LJISZTO,O,X,X
LJISZOT,O,X,X
LJISOTZ,O,X,X
LJISOZT,O,X,X
LJIZTSO,O,X,X
LJIZTOS,X,X,X
LJIZSTO,O,X,X
LJIZSOT,O,X,X
LJIZOTS,X,X,X
LJIZOST,X,X,X
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,X,X,X
LJIOSZT,X,X,X
LJIOZTS,X,X,X
LJIOZST,X,X,X
LJSTIZO,O,X,X
LJSTIOZ,O,X,X
LJSTZIO,O,X,X
LJSTZOI,O,X,X
LJSTOIZ,O,X,X
LJSTOZI,O,X,X
LJSITZO,O,X,X
LJSITOZ,O,X,X
LJSIZTO,O,X,X
LJSIZOT,O,X,X
LJSIOTZ,O,X,X
LJSIOZT,O,X,X
LJSZTIO,O,X,X
LJSZTOI,O,X,X
LJSZITO,O,X,X
LJSZIOT,O,X,X
LJSZOTI,O,X,X
LJSZOIT,O,X,X
LJSOTIZ,O,X,X
LJSOTZI,O,X,X
LJSOITZ,O,X,X
LJSOIZT,O,X,X
LJSOZTI,O,X,X
LJSOZIT,O,X,X
LJZTISO,O,X,X
LJZTIOS,X,X,X
LJZTSIO,O,X,X
LJZTSOI,O,X,X
LJZTOIS,X,X,X
LJZTOSI,X,X,X
LJZITSO,O,X,X
LJZITOS,X,X,X
LJZISTO,O,X,X
LJZISOT,O,X,X
LJZIOTS,X,X,X
LJZIOST,X,X,X
LJZSTIO,O,X,X
LJZSTOI,O,X,X
LJZSITO,O,X,X
LJZSIOT,O,X,X
LJZSOTI,O,X,X
LJZSOIT,O,X,X
LJZOTIS,X,X,X
LJZOTSI,X,X,X
LJZOITS,X,X,X
LJZOIST,X,X,X
LJZOSTI,X,X,X
LJZOSIT,X,X,X
LJOTISZ,X,X,X
LJOTIZS,X,X,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,X,X,X
LJOISZT,X,X,X
LJOIZTS,X,X,X
LJOIZST,X,X,X
LJOSTIZ,X,X,X
LJOSTZI,X,X,X
LJOSITZ,X,X,X
LJOSIZT,X,X,X
LJOSZTI,X,X,X
LJOSZIT,X,X,X
LJOZTIS,X,X,X
LJOZTSI,X,X,X
LJOZITS,X,X,X
LJOZIST,X,X,X
LJOZSTI,X,X,X
LJOZSIT,X,X,X
LSTIJZO,O,X,X
LSTIJOZ,O,X,X
LSTIZJO,X,O,X
LSTIZOJ,X,O,X
LSTIOJZ,O,X,X
LSTIOZJ,X,O,X
LSTJIZO,O,X,X
LSTJIOZ,O,X,X
LSTJZIO,O,X,X
LSTJZOI,O,X,X
LSTJOIZ,O,X,X
LSTJOZI,O,X,X
LSTZIJO,X,O,X
LSTZIOJ,X,O,X
LSTZJIO,X,O,X
LSTZJOI,X,O,X
LSTZOIJ,X,O,X
LSTZOJI,X,O,X
LSTOIJZ,O,X,X
LSTOIZJ,X,O,X
LSTOJIZ,O,X,X
LSTOJZI,O,X,X
LSTOZIJ,X,O,X
LSTOZJI,X,O,X
LSITJZO,O,X,X
LSITJOZ,O,X,X
LSITZJO,X,O,X
LSITZOJ,X,O,X
LSITOJZ,O,X,X
LSITOZJ,X,O,X
LSIJTZO,O,X,X
LSIJTOZ,O,X,X
LSIJZTO,O,X,X
LSIJZOT,O,X,X
LSIJOTZ,O,X,X
LSIJOZT,O,X,X
LSIZTJO,X,O,X
LSIZTOJ,X,O,X
LSIZJTO,X,O,X
LSIZJOT,X,O,X
LSIZOTJ,X,O,X
LSIZOJT,X,O,O
LSIOTJZ,O,X,X
LSIOTZJ,X,O,X
LSIOJTZ,O,X,X
LSIOJZT,O,X,O
LSIOZTJ,X,O,X
LSIOZJT,X,O,O
LSJTIZO,O,X,X
LSJTIOZ,O,X,X
LSJTZIO,O,X,X
LSJTZOI,O,X,X
LSJTOIZ,O,X,X
LSJTOZI,O,X,X
LSJITZO,O,X,X
LSJITOZ,O,X,X
LSJIZTO,O,X,X
LSJIZOT,O,X,X
LSJIOTZ,O,X,X
LSJIOZT,O,X,X
LSJZTIO,O,X,X
LSJZTOI,O,X,X
LSJZITO,O,X,X
LSJZIOT,O,X,X
LSJZOTI,O,X,X
LSJZOIT,O,X,X
LSJOTIZ,O,X,X
LSJOTZI,O,X,X
LSJOITZ,O,X,X
LSJOIZT,O,X,X
LSJOZTI,O,X,X
LSJOZIT,O,X,X
LSZTIJO,X,O,X
LSZTIOJ,X,O,X
LSZTJIO,X,O,X
LSZTJOI,X,O,X
LSZTOIJ,X,O,X
LSZTOJI,X,O,X
LSZITJO,X,O,X
LSZITOJ,X,O,X
LSZIJTO,X,O,X
LSZIJOT,X,O,X
LSZIOTJ,X,O,X
LSZIOJT,X,O,O
LSZJTIO,X,O,X
LSZJTOI,X,O,X
LSZJITO,X,O,X
LSZJIOT,X,O,X
LSZJOTI,X,O,X
LSZJOIT,X,O,X
LSZOTIJ,X,O,X
LSZOTJI,X,O,X
LSZOITJ,X,O,X
LSZOIJT,X,O,O
LSZOJTI,X,O,X
LSZOJIT,X,O,O
LSOTIJZ,O,X,X
LSOTIZJ,X,O,X
LSOTJIZ,O,X,X
LSOTJZI,O,X,X
LSOTZIJ,X,O,X
LSOTZJI,X,O,X
LSOITJZ,O,X,X
LSOITZJ,X,O,X
LSOIJTZ,O,X,X
LSOIJZT,O,X,O
LSOIZTJ,X,O,X
LSOIZJT,X,O,O
LSOJTIZ,O,X,X
LSOJTZI,O,X,X
LSOJITZ,O,X,X
LSOJIZT,O,X,O
LSOJZTI,O,X,X
LSOJZIT,O,X,O
LSOZTIJ,X,O,X
LSOZTJI,X,O,X
LSOZITJ,X,O,X
LSOZIJT,X,O,O
LSOZJTI,X,O,X
LSOZJIT,X,O,O
LZTIJSO,X,O,X
LZTIJOS,X,X,X
LZTISJO,X,O,X
LZTISOJ,X,O,X
LZTIOJS,X,X,X
LZTIOSJ,X,X,X
LZTJISO,X,O,X
LZTJIOS,X,X,X
LZTJSIO,X,O,X
LZTJSOI,X,O,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,X,O,X
LZTSIOJ,X,O,X
LZTSJIO,X,O,X
LZTSJOI,X,O,X
LZTSOIJ,X,O,X
LZTSOJI,X,O,X
LZTOIJS,X,X,X
LZTOISJ,X,X,X
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,X,O,X
