sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
LTSZIJO,X,X,X,X,X
LTSZIOJ,X,X,X,X,X
LTSZJIO,X,X,X,X,X
LTSZJOI,X,X,X,X,X
LTSZOIJ,X,X,X,X,X
LTSZOJI,X,X,X,X,X
LTSOIJZ,X,X,X,X,X
LTSOIZJ,X,X,X,X,X
LTSOJIZ,X,X,X,X,X
LTSOJZI,X,X,X,X,X
LTSOZIJ,X,X,X,X,X
LTSOZJI,X,X,X,X,X
LTZIJSO,X,X,X,X,X
LTZIJOS,X,X,O,X,X
LTZISJO,X,X,X,X,X
LTZISOJ,X,X,X,X,X
LTZIOJS,X,X,O,X,X
LTZIOSJ,X,X,X,X,X
LTZJISO,X,X,X,X,O
LTZJIOS,X,X,O,X,X
LTZJSIO,X,X,X,X,O
LTZJSOI,X,X,X,X,O
LTZJOIS,X,X,O,X,O
LTZJOSI,X,X,O,X,O
LTZSIJO,X,X,X,X,O
LTZSIOJ,X,X,X,X,O
LTZSJIO,X,X,X,X,O
LTZSJOI,X,X,X,X,O
LTZSOIJ,X,X,X,X,O
LTZSOJI,X,X,X,X,O
LTZOIJS,X,X,O,X,O
LTZOISJ,X,X,X,X,O
LTZOJIS,X,X,O,X,O
LTZOJSI,X,X,O,X,O
LTZOSIJ,X,X,X,X,O
LTZOSJI,X,X,X,X,O
LTOIJSZ,X,X,X,X,X
LTOIJZS,X,O,O,X,O
LTOISJZ,X,X,X,X,X
LTOISZJ,X,X,X,X,X
LTOIZJS,X,O,O,X,O
LTOIZSJ,X,X,X,X,O
LTOJISZ,X,X,X,X,X
LTOJIZS,X,O,O,X,O
LTOJSIZ,X,X,X,X,X
LTOJSZI,X,X,X,X,X
LTOJZIS,X,O,O,X,O
LTOJZSI,X,O,O,X,O
LTOSIJZ,X,X,X,X,X
LTOSIZJ,X,X,X,X,X
LTOSJIZ,X,X,X,X,X
LTOSJZI,X,X,X,X,X
LTOSZIJ,X,X,X,X,X
LTOSZJI,X,X,X,X,X
LTOZIJS,X,O,O,X,O
LTOZISJ,X,X,X,X,O
LTOZJIS,X,O,O,X,O
LTOZJSI,X,O,O,X,O
LTOZSIJ,X,X,X,X,O
LTOZSJI,X,X,X,X,O
LITJSZO,X,X,X,X,X
LITJSOZ,X,X,X,X,X
LITJZSO,X,X,X,X,X
LITJZOS,X,X,O,X,X
LITJOSZ,X,X,X,X,X
LITJOZS,X,O,O,X,X
LITSJZO,X,X,X,X,X
LITSJOZ,X,X,X,X,X
LITSZJO,X,X,X,X,X
LITSZOJ,X,X,X,X,X
LITSOJZ,X,X,X,X,X
LITSOZJ,X,X,X,X,X
LITZJSO,X,X,X,X,X
LITZJOS,X,X,O,X,X
LITZSJO,X,X,X,X,X
LITZSOJ,X,X,X,X,X
LITZOJS,X,X,O,X,X
LITZOSJ,X,X,X,X,X
LITOJSZ,X,X,X,X,X
LITOJZS,X,O,O,X,X
LITOSJZ,X,X,X,X,X
LITOSZJ,X,X,X,X,X
LITOZJS,X,O,O,X,X
LITOZSJ,X,X,X,X,X
LIJTSZO,X,X,X,X,X
LIJTSOZ,X,X,X,X,X
LIJTZSO,X,X,X,X,X
LIJTZOS,X,X,O,X,X
LIJTOSZ,X,X,X,X,X
LIJTOZS,X,O,O,X,X
LIJSTZO,X,X,X,X,X
LIJSTOZ,X,X,X,X,X
LIJSZTO,X,X,X,X,X
LIJSZOT,X,X,X,X,X
LIJSOTZ,X,X,X,X,X
LIJSOZT,X,X,X,X,X
LIJZTSO,X,X,X,X,X
LIJZTOS,X,X,X,X,X
LIJZSTO,X,X,X,X,X
LIJZSOT,X,X,X,O,X
LIJZOTS,X,X,X,X,X
LIJZOST,X,X,O,X,X
LIJOTSZ,X,X,X,X,X
LIJOTZS,X,O,O,X,X
LIJOSTZ,X,X,X,X,X
LIJOSZT,X,X,X,X,X
LIJOZTS,X,X,X,X,X
LIJOZST,X,O,O,X,X
LISTJZO,X,X,X,X,X
LISTJOZ,X,X,X,X,X
LISTZJO,X,X,X,X,X
LISTZOJ,X,X,X,X,X
LISTOJZ,X,X,X,X,X
LISTOZJ,X,X,X,X,X
LISJTZO,X,X,X,X,X
LISJTOZ,X,X,X,X,X
LISJZTO,X,X,X,X,X
LISJZOT,X,X,X,X,X
LISJOTZ,X,X,X,X,X
LISJOZT,X,X,X,X,X
LISZTJO,X,X,X,X,X
LISZTOJ,X,X,X,X,X
LISZJTO,X,X,X,X,X
LISZJOT,X,X,X,O,X
LISZOTJ,X,X,X,X,X
LISZOJT,X,X,X,O,X
LISOTJZ,X,X,X,X,X
LISOTZJ,X,X,X,X,X
LISOJTZ,X,X,X,X,X
LISOJZT,X,X,X,X,X
LISOZTJ,X,X,X,X,X
LISOZJT,X,X,X,O,X
LIZTJSO,X,X,X,X,X
LIZTJOS,X,X,X,X,X
LIZTSJO,X,X,X,X,X
LIZTSOJ,X,X,X,X,X
LIZTOJS,X,X,X,X,X
LIZTOSJ,X,X,X,X,X
LIZJTSO,X,X,X,X,X
LIZJTOS,X,X,X,X,X
LIZJSTO,X,X,X,X,X
LIZJSOT,X,X,X,O,X
LIZJOTS,X,X,X,X,X
LIZJOST,X,X,O,X,X
LIZSTJO,X,X,X,X,X
LIZSTOJ,X,X,X,X,X
LIZSJTO,X,X,X,X,X
LIZSJOT,X,X,X,O,X
LIZSOTJ,X,X,X,X,X
LIZSOJT,X,X,X,O,X
LIZOTJS,X,X,X,X,X
LIZOTSJ,X,X,X,X,X
LIZOJTS,X,X,X,X,X
LIZOJST,X,X,O,X,X
LIZOSTJ,X,X,X,X,X
LIZOSJT,X,X,X,X,X
LIOTJSZ,X,X,X,X,X
LIOTJZS,X,O,O,X,X
LIOTSJZ,X,X,X,X,X
LIOTSZJ,X,X,X,X,X
LIOTZJS,X,O,O,X,X
LIOTZSJ,X,X,X,X,X
LIOJTSZ,X,X,X,X,X
LIOJTZS,X,O,O,X,X
LIOJSTZ,X,X,X,X,X
LIOJSZT,X,X,X,X,X
LIOJZTS,X,X,X,X,X
LIOJZST,X,O,O,X,X
LIOSTJZ,X,X,X,X,X
LIOSTZJ,X,X,X,X,X
LIOSJTZ,X,X,X,X,X
LIOSJZT,X,X,X,X,X
LIOSZTJ,X,X,X,X,X
LIOSZJT,X,X,X,X,X
LIOZTJS,X,X,X,X,X
LIOZTSJ,X,X,X,X,X
LIOZJTS,X,X,X,X,X
LIOZJST,X,O,O,X,X
LIOZSTJ,X,X,X,X,X
LIOZSJT,X,X,X,X,X
LJTISZO,X,X,X,X,X
LJTISOZ,X,X,X,X,X
LJTIZSO,X,X,X,X,X
LJTIZOS,X,X,O,X,X
LJTIOSZ,X,X,X,X,X
LJTIOZS,X,O,O,X,X
LJTSIZO,X,X,X,X,X
LJTSIOZ,X,X,X,X,X
LJTSZIO,X,X,X,X,X
LJTSZOI,X,X,X,X,X
LJTSOIZ,X,X,X,X,X
LJTSOZI,X,X,X,X,X
LJTZISO,X,X,X,X,X
LJTZIOS,X,X,O,X,X
LJTZSIO,X,X,X,X,X
LJTZSOI,X,X,X,X,X
LJTZOIS,X,X,O,X,X
LJTZOSI,X,X,O,X,X
LJTOISZ,X,X,X,X,X
LJTOIZS,X,O,O,X,X
LJTOSIZ,X,X,X,X,X
LJTOSZI,X,X,X,X,X
LJTOZIS,X,O,O,X,X
LJTOZSI,X,O,O,X,X
LJITSZO,X,X,X,X,X
LJITSOZ,X,X,X,X,X
LJITZSO,X,X,X,X,X
LJITZOS,X,X,O,X,X
LJITOSZ,X,X,X,X,X
LJITOZS,X,O,O,X,X
LJISTZO,X,X,X,X,X
LJISTOZ,X,X,X,X,X
LJISZTO,X,X,X,X,X
LJISZOT,X,X,X,X,X
LJISOTZ,X,X,X,X,X
LJISOZT,X,X,X,X,X
LJIZTSO,X,X,X,X,X
LJIZTOS,X,X,X,X,X
LJIZSTO,X,X,X,X,X
LJIZSOT,X,X,X,O,X
LJIZOTS,X,X,X,X,X
LJIZOST,X,X,O,X,X
LJIOTSZ,X,X,X,X,X
LJIOTZS,X,O,O,X,X
LJIOSTZ,X,X,X,X,X
LJIOSZT,X,X,X,X,X
LJIOZTS,X,X,X,X,X
LJIOZST,X,O,O,X,X
LJSTIZO,X,X,X,X,X
LJSTIOZ,X,X,X,X,X
LJSTZIO,X,X,X,X,X
LJSTZOI,X,X,X,X,X
LJSTOIZ,X,X,X,X,X
LJSTOZI,X,X,X,X,X
LJSITZO,X,X,X,X,X
LJSITOZ,X,X,X,X,X
LJSIZTO,X,X,X,X,X
LJSIZOT,X,X,X,X,X
LJSIOTZ,X,X,X,X,X
LJSIOZT,X,X,X,X,X
LJSZTIO,O,X,X,X,X
LJSZTOI,O,X,X,X,X
LJSZITO,X,X,X,X,X
LJSZIOT,X,X,X,X,X
LJSZOTI,O,X,X,X,X
LJSZOIT,O,X,X,X,X
LJSOTIZ,X,X,X,X,X
LJSOTZI,X,X,X,X,X
LJSOITZ,X,X,X,X,X
LJSOIZT,O,X,X,X,X
LJSOZTI,O,X,X,X,X
LJSOZIT,O,X,X,X,X
LJZTISO,X,X,X,X,X
LJZTIOS,X,X,X,X,X
LJZTSIO,X,X,X,X,X
LJZTSOI,X,X,X,X,X
LJZTOIS,X,X,X,X,X
LJZTOSI,O,X,X,X,X
LJZITSO,X,X,X,X,X
LJZITOS,X,X,X,X,X
LJZISTO,X,X,X,X,X
LJZISOT,X,X,X,O,X
LJZIOTS,X,X,X,X,X
LJZIOST,X,X,O,X,X
LJZSTIO,O,X,X,X,X
LJZSTOI,O,X,X,X,X
LJZSITO,X,X,X,X,X
LJZSIOT,X,X,X,O,X
LJZSOTI,O,X,X,O,X
LJZSOIT,O,X,X,O,X
LJZOTIS,X,X,X,X,X
LJZOTSI,O,X,X,X,X
LJZOITS,X,X,X,X,X
LJZOIST,O,X,O,X,X
LJZOSTI,O,X,X,X,X
LJZOSIT,O,X,O,X,X
LJOTISZ,X,X,X,X,X
LJOTIZS,X,O,O,X,X
LJOTSIZ,X,X,X,X,X
LJOTSZI,X,X,X,X,X
LJOTZIS,X,O,O,X,X
LJOTZSI,X,O,O,X,X
LJOITSZ,X,X,X,X,X
LJOITZS,X,O,O,X,X
LJOISTZ,X,X,X,X,X
LJOISZT,O,X,X,X,X
LJOIZTS,X,X,X,X,X
LJOIZST,O,O,O,X,X
LJOSTIZ,X,X,X,X,X
LJOSTZI,X,X,X,X,X
LJOSITZ,X,X,X,X,X
LJOSIZT,O,X,X,X,X
LJOSZTI,O,X,X,X,X
LJOSZIT,O,X,X,X,X
LJOZTIS,X,X,X,X,X
LJOZTSI,O,X,X,X,X
LJOZITS,X,X,X,X,X
LJOZIST,O,O,O,X,X
LJOZSTI,O,X,X,X,X
LJOZSIT,O,O,O,X,X
LSTIJZO,X,X,X,X,X
LSTIJOZ,X,X,X,X,X
LSTIZJO,O,X,X,X,X
LSTIZOJ,X,X,X,X,X
LSTIOJZ,X,X,X,X,X
LSTIOZJ,X,X,X,X,X
LSTJIZO,X,X,X,X,X
LSTJIOZ,X,X,X,X,X
LSTJZIO,X,X,X,X,X
LSTJZOI,X,X,X,X,X
LSTJOIZ,X,X,X,X,X
LSTJOZI,X,X,X,X,X
LSTZIJO,X,X,X,X,X
LSTZIOJ,X,X,X,X,X
LSTZJIO,X,X,X,X,X
LSTZJOI,X,X,X,X,X
LSTZOIJ,X,X,X,X,X
LSTZOJI,X,X,X,X,X
LSTOIJZ,X,X,X,X,X
LSTOIZJ,O,X,X,X,X
LSTOJIZ,X,X,X,X,X
LSTOJZI,X,X,X,X,X
LSTOZIJ,X,X,X,X,X
LSTOZJI,X,X,X,X,X
LSITJZO,X,X,X,X,X
LSITJOZ,X,X,X,X,X
LSITZJO,X,X,X,X,X
LSITZOJ,X,X,X,X,X
LSITOJZ,X,X,X,X,X
LSITOZJ,X,X,X,X,X
LSIJTZO,X,X,X,X,X
LSIJTOZ,X,X,X,X,X
LSIJZTO,X,X,X,X,X
LSIJZOT,X,X,X,X,X
LSIJOTZ,X,X,X,X,X
LSIJOZT,X,X,X,X,X
LSIZTJO,X,X,X,X,X
LSIZTOJ,X,X,X,X,X
LSIZJTO,X,X,X,X,X
LSIZJOT,X,X,X,O,X
LSIZOTJ,X,X,X,X,X
LSIZOJT,X,X,X,O,X
LSIOTJZ,X,X,X,X,X
LSIOTZJ,X,X,X,X,X
LSIOJTZ,X,X,X,X,X
LSIOJZT,X,X,X,X,X
LSIOZTJ,X,X,X,X,X
LSIOZJT,X,X,X,O,X
LSJTIZO,X,X,X,X,X
LSJTIOZ,X,X,X,X,X
LSJTZIO,X,X,X,X,X
LSJTZOI,X,X,X,X,X
LSJTOIZ,X,X,X,X,X
LSJTOZI,X,X,X,X,X
LSJITZO,X,X,X,X,X
LSJITOZ,X,X,X,X,X
LSJIZTO,X,X,X,X,X
LSJIZOT,X,X,X,X,X
LSJIOTZ,X,X,X,X,X
LSJIOZT,X,X,X,X,X
LSJZTIO,O,X,X,X,X
LSJZTOI,O,X,X,X,X
LSJZITO,X,X,X,X,X
LSJZIOT,X,X,X,X,X
LSJZOTI,O,X,X,X,X
LSJZOIT,O,X,X,X,X
LSJOTIZ,X,X,X,X,X
LSJOTZI,X,X,X,X,X
LSJOITZ,X,X,X,X,X
LSJOIZT,O,X,X,X,X
LSJOZTI,O,X,X,X,X
LSJOZIT,O,X,X,X,X
LSZTIJO,O,X,X,X,X
LSZTIOJ,X,X,X,X,X
LSZTJIO,O,X,X,X,X
LSZTJOI,O,X,X,X,X
LSZTOIJ,O,X,X,X,X
LSZTOJI,O,X,X,X,X
LSZITJO,X,X,X,X,X
LSZITOJ,X,X,X,X,X
LSZIJTO,X,X,X,X,X
LSZIJOT,X,X,X,O,X
LSZIOTJ,X,X,X,X,X
LSZIOJT,X,X,X,O,X
LSZJTIO,O,X,X,X,X
LSZJTOI,O,X,X,X,X
LSZJITO,X,X,X,X,X
LSZJIOT,X,X,X,O,X
LSZJOTI,O,X,X,O,X
LSZJOIT,O,X,X,O,X
LSZOTIJ,O,X,X,X,X
LSZOTJI,O,X,X,X,X
LSZOITJ,X,X,X,X,X
LSZOIJT,O,X,X,O,X
LSZOJTI,O,X,X,O,X
LSZOJIT,O,X,X,O,X
LSOTIJZ,X,X,X,X,X
LSOTIZJ,O,X,X,X,X
LSOTJIZ,X,X,X,X,X
LSOTJZI,X,X,X,X,X
LSOTZIJ,X,X,X,X,X
LSOTZJI,X,X,X,X,X
LSOITJZ,X,X,X,X,X
LSOITZJ,O,X,X,X,X
LSOIJTZ,X,X,X,X,X
LSOIJZT,O,X,X,X,X
LSOIZTJ,X,X,X,X,X
LSOIZJT,O,X,X,O,X
LSOJTIZ,X,X,X,X,X
LSOJTZI,X,X,X,X,X
LSOJITZ,X,X,X,X,X
LSOJIZT,O,X,X,X,X
LSOJZTI,O,X,X,X,X
LSOJZIT,O,X,X,X,X
LSOZTIJ,O,X,X,X,X
LSOZTJI,O,X,X,X,X
LSOZITJ,X,X,X,X,X
LSOZIJT,O,X,X,O,X
LSOZJTI,O,X,X,O,X
LSOZJIT,O,X,X,O,X
LZTIJSO,X,X,X,X,X
LZTIJOS,X,X,X,X,X
LZTISJO,X,X,X,X,X
LZTISOJ,X,X,X,X,X
LZTIOJS,X,X,X,X,X
LZTIOSJ,X,X,X,X,X
LZTJISO,X,X,X,X,O
LZTJIOS,X,X,X,X,X
LZTJSIO,X,X,X,X,O
LZTJSOI,X,X,X,X,O
LZTJOIS,X,X,X,X,O
LZTJOSI,O,X,X,X,O
LZTSIJO,X,X,X,X,O
LZTSIOJ,X,X,X,X,O
LZTSJIO,X,X,X,X,O
LZTSJOI,X,X,X,X,O
LZTSOIJ,X,X,X,X,O
LZTSOJI,X,X,X,X,O
LZTOIJS,X,X,X,X,O
LZTOISJ,X,X,X,X,O
LZTOJIS,X,X,X,X,O
LZTOJSI,O,X,X,X,O
LZTOSIJ,X,X,X,X,O
LZTOSJI,X,X,X,X,O
LZITJSO,X,X,X,X,X
LZITJOS,X,X,X,X,X
LZITSJO,X,X,X,X,X
LZITSOJ,X,X,X,X,X
LZITOJS,X,X,X,X,X
LZITOSJ,X,X,X,X,X
LZIJTSO,X,X,X,X,X
LZIJTOS,X,X,X,X,X
LZIJSTO,X,X,X,X,X
LZIJSOT,X,X,X,O,X
LZIJOTS,X,X,X,X,X
LZIJOST,X,X,O,X,X
LZISTJO,X,X,X,X,X
LZISTOJ,X,X,X,X,X
LZISJTO,X,X,X,X,X
LZISJOT,X,X,X,O,X
LZISOTJ,X,X,X,X,X
LZISOJT,X,X,X,O,X
LZIOTJS,X,X,X,X,X
LZIOTSJ,X,X,X,X,X
LZIOJTS,X,X,X,X,X
LZIOJST,X,X,O,X,X
LZIOSTJ,X,X,X,X,X
LZIOSJT,X,X,X,X,X
LZJTISO,X,X,X,X,X
LZJTIOS,X,X,X,X,X
LZJTSIO,X,X,X,X,X
LZJTSOI,X,X,X,X,X
LZJTOIS,X,X,X,X,X
LZJTOSI,O,X,X,X,X
LZJITSO,X,X,X,X,X
LZJITOS,X,X,X,X,X
LZJISTO,X,X,X,X,X
LZJISOT,X,X,X,O,X
LZJIOTS,X,X,X,X,X
LZJIOST,X,X,O,X,X
LZJSTIO,O,X,X,X,X
LZJSTOI,O,X,X,X,X
LZJSITO,X,X,X,X,X
LZJSIOT,X,X,X,O,X
LZJSOTI,O,X,X,O,X
LZJSOIT,O,X,X,O,X
LZJOTIS,X,X,X,X,X
LZJOTSI,O,X,X,X,X
LZJOITS,X,X,X,X,X
LZJOIST,O,X,O,X,X
LZJOSTI,O,X,X,X,X
LZJOSIT,O,X,O,X,X
LZSTIJO,O,X,X,X,O
LZSTIOJ,X,X,X,X,O
LZSTJIO,O,X,X,X,O
LZSTJOI,O,X,X,X,O
LZSTOIJ,O,X,X,X,O
LZSTOJI,O,X,X,X,O
LZSITJO,X,X,X,X,O
LZSITOJ,X,X,X,X,O
LZSIJTO,X,X,X,X,X
LZSIJOT,X,X,X,O,X
LZSIOTJ,X,X,X,X,X
LZSIOJT,X,X,X,O,X
LZSJTIO,O,X,X,X,X
LZSJTOI,O,X,X,X,X
LZSJITO,X,X,X,X,X
LZSJIOT,X,X,X,O,X
LZSJOTI,O,X,X,O,X
LZSJOIT,O,X,X,O,X
LZSOTIJ,O,X,X,X,X
LZSOTJI,O,X,X,X,X
LZSOITJ,X,X,X,X,X
LZSOIJT,O,X,X,O,X
LZSOJTI,O,X,X,O,X
LZSOJIT,O,X,X,O,X
LZOTIJS,X,X,X,X,O
LZOTISJ,X,X,X,X,O
LZOTJIS,X,X,X,X,O
LZOTJSI,O,X,X,X,O
LZOTSIJ,X,X,X,X,O
LZOTSJI,X,X,X,X,O
LZOITJS,X,X,X,X,X
LZOITSJ,X,X,X,X,X
LZOIJTS,X,X,X,X,X
LZOIJST,O,X,O,X,X
LZOISTJ,X,X,X,X,X
LZOISJT,X,X,X,X,X
LZOJTIS,X,X,X,X,X
LZOJTSI,O,X,X,X,X
LZOJITS,X,X,X,X,X
LZOJIST,O,X,O,X,X
LZOJSTI,O,X,X,X,X
LZOJSIT,O,X,O,X,X
LZOSTIJ,O,X,X,X,X
LZOSTJI,O,X,X,X,X
LZOSITJ,X,X,X,X,X
LZOSIJT,O,X,X,X,X
LZOSJTI,O,X,X,X,X
LZOSJIT,O,X,X,X,X
LOTIJSZ,X,X,X,X,X
LOTIJZS,X,O,O,X,O
LOTISJZ,X,X,X,X,X
LOTISZJ,X,X,X,X,X
LOTIZJS,X,O,O,X,O
LOTIZSJ,X,X,X,X,O
LOTJISZ,X,X,X,X,X
LOTJIZS,X,O,O,X,O
LOTJSIZ,X,X,X,X,X
LOTJSZI,X,X,X,X,X
LOTJZIS,X,O,O,X,O
LOTJZSI,X,O,O,X,O
LOTSIJZ,X,X,X,X,X
LOTSIZJ,X,X,X,X,X
LOTSJIZ,X,X,X,X,X
LOTSJZI,X,X,X,X,X
LOTSZIJ,X,X,X,X,X
LOTSZJI,X,X,X,X,X
LOTZIJS,X,O,O,X,O
LOTZISJ,X,X,X,X,O
LOTZJIS,X,O,O,X,O
LOTZJSI,X,O,O,X,O
LOTZSIJ,X,X,X,X,O
LOTZSJI,X,X,X,X,O
LOITJSZ,X,X,X,X,X
LOITJZS,X,O,O,X,O
LOITSJZ,X,X,X,X,X
LOITSZJ,X,X,X,X,X
LOITZJS,X,O,O,X,O
LOITZSJ,X,X,X,X,O
LOIJTSZ,X,X,X,X,X
LOIJTZS,X,O,O,X,X
LOIJSTZ,X,X,X,X,X
LOIJSZT,O,X,X,X,X
LOIJZTS,X,X,X,X,X
LOIJZST,O,O,O,X,X
LOISTJZ,X,X,X,X,X
LOISTZJ,O,X,X,X,X
LOISJTZ,X,X,X,X,X
LOISJZT,O,X,X,X,X
LOISZTJ,X,X,X,X,X
LOISZJT,O,X,X,X,X
LOIZTJS,X,X,X,X,X
LOIZTSJ,X,X,X,X,X
LOIZJTS,X,X,X,X,X
LOIZJST,O,O,O,X,X
LOIZSTJ,X,X,X,X,X
LOIZSJT,X,X,X,X,X
LOJTISZ,X,X,X,X,X
LOJTIZS,X,O,O,X,X
LOJTSIZ,X,X,X,X,X
LOJTSZI,X,X,X,X,X
LOJTZIS,X,O,O,X,X
LOJTZSI,X,O,O,X,X
LOJITSZ,X,X,X,X,X
LOJITZS,X,O,O,X,X
LOJISTZ,X,X,X,X,X
LOJISZT,O,X,X,X,X
LOJIZTS,X,X,X,X,X
LOJIZST,O,O,O,X,X
LOJSTIZ,X,X,X,X,X
LOJSTZI,X,X,X,X,X
LOJSITZ,X,X,X,X,X
LOJSIZT,O,X,X,X,X
LOJSZTI,O,X,X,X,X
LOJSZIT,O,X,X,X,X
LOJZTIS,X,X,X,X,X
LOJZTSI,O,X,X,X,X
LOJZITS,X,X,X,X,X
LOJZIST,O,O,O,X,X
LOJZSTI,O,X,X,X,X
LOJZSIT,O,O,O,X,X
LOSTIJZ,X,X,X,X,X
LOSTIZJ,O,X,X,X,X
LOSTJIZ,X,X,X,X,X
LOSTJZI,X,X,X,X,X
LOSTZIJ,X,X,X,X,X
LOSTZJI,X,X,X,X,X
LOSITJZ,X,X,X,X,X
LOSITZJ,O,X,X,X,X
LOSIJTZ,X,X,X,X,X
LOSIJZT,O,X,X,X,X
LOSIZTJ,X,X,X,X,X
LOSIZJT,O,X,X,X,X
LOSJTIZ,X,X,X,X,X
LOSJTZI,X,X,X,X,X
LOSJITZ,X,X,X,X,X
LOSJIZT,O,X,X,X,X
LOSJZTI,O,X,X,X,X
LOSJZIT,O,X,X,X,X
LOSZTIJ,O,X,X,X,X
LOSZTJI,O,X,X,X,X
LOSZITJ,X,X,X,X,X
LOSZIJT,O,X,X,X,X
LOSZJTI,O,X,X,X,X
LOSZJIT,O,X,X,X,X
LOZTIJS,X,X,X,X,O
LOZTISJ,X,X,X,X,O
LOZTJIS,X,X,X,X,O
LOZTJSI,O,X,X,X,O
LOZTSIJ,X,X,X,X,O
LOZTSJI,X,X,X,X,O
LOZITJS,X,X,X,X,X
LOZITSJ,X,X,X,X,X
LOZIJTS,X,X,X,X,X
LOZIJST,O,O,O,X,X
LOZISTJ,X,X,X,X,X
LOZISJT,X,X,X,X,X
LOZJTIS,X,X,X,X,X
LOZJTSI,O,X,X,X,X
LOZJITS,X,X,X,X,X
LOZJIST,O,O,O,X,X
LOZJSTI,O,X,X,X,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,O,X,X,X,X
LOZSTJI,O,X,X,X,X
LOZSITJ,X,X,X,X,X
LOZSIJT,O,X,X,X,X
LOZSJTI,O,X,X,X,X
LOZSJIT,O,X,X,X,X
JTILSZO,X,X,X,X,X
JTILSOZ,X,X,X,X,X
JTILZSO,X,X,X,X,X
JTILZOS,X,X,O,X,X
JTILOSZ,X,X,X,X,X
JTILOZS,X,O,O,X,X
JTISLZO,X,X,X,X,X
JTISLOZ,X,X,X,X,X
JTISZLO,X,X,X,X,X
JTISZOL,X,X,X,X,X
JTISOLZ,X,X,X,X,X
JTISOZL,X,X,X,X,X
JTIZLSO,X,X,X,X,X
JTIZLOS,X,X,O,X,X
JTIZSLO,X,X,X,X,X
JTIZSOL,X,X,X,X,X
JTIZOLS,X,X,X,X,X
JTIZOSL,X,X,X,X,X
JTIOLSZ,X,X,X,X,X
JTIOLZS,X,O,X,X,X
JTIOSLZ,X,X,X,X,X
JTIOSZL,X,X,X,X,X
JTIOZLS,X,O,X,X,X
JTIOZSL,X,X,X,X,X
JTLISZO,X,X,X,X,X
JTLISOZ,X,X,X,X,X
JTLIZSO,X,X,X,X,X
JTLIZOS,X,X,O,X,X
JTLIOSZ,X,X,X,X,X
JTLIOZS,X,O,O,X,X
JTLSIZO,X,X,X,X,X
JTLSIOZ,X,X,X,X,X
JTLSZIO,X,X,X,X,X
JTLSZOI,X,X,X,X,X
JTLSOIZ,X,X,X,X,X
JTLSOZI,X,X,X,X,X
JTLZISO,X,X,X,X,X
JTLZIOS,X,X,O,X,X
JTLZSIO,X,X,X,X,X
JTLZSOI,X,X,X,X,X
JTLZOIS,X,X,O,X,X
JTLZOSI,X,X,O,X,X
JTLOISZ,X,X,X,X,X
JTLOIZS,X,O,O,X,X
JTLOSIZ,X,X,X,X,X
JTLOSZI,X,X,X,X,X
JTLOZIS,X,O,O,X,X
JTLOZSI,X,O,O,X,X
JTSILZO,X,X,X,X,X
JTSILOZ,X,X,X,X,X
JTSIZLO,X,X,X,X,X
JTSIZOL,X,X,X,X,X
JTSIOLZ,X,X,X,X,X
JTSIOZL,X,X,X,X,X
JTSLIZO,X,X,X,X,X
JTSLIOZ,X,X,X,X,X
JTSLZIO,X,X,X,X,X
JTSLZOI,X,X,X,X,X
JTSLOIZ,X,X,X,X,X
JTSLOZI,X,X,X,X,X
JTSZILO,X,X,X,X,X
JTSZIOL,X,X,X,X,X
JTSZLIO,X,X,X,X,X
JTSZLOI,X,X,X,X,X
JTSZOIL,X,X,X,X,X
JTSZOLI,X,X,X,X,X
JTSOILZ,X,X,X,X,X
JTSOIZL,X,X,X,X,X
JTSOLIZ,X,X,X,X,X
JTSOLZI,X,X,X,X,X
JTSOZIL,X,X,X,X,X
JTSOZLI,X,X,X,X,X
JTZILSO,X,X,X,X,X
JTZILOS,X,X,O,X,X
JTZISLO,X,X,X,X,X
JTZISOL,X,X,X,X,X
JTZIOLS,X,X,X,X,X
JTZIOSL,X,X,X,X,X
JTZLISO,X,X,X,X,X
JTZLIOS,X,X,O,X,X
JTZLSIO,X,X,X,X,X
JTZLSOI,X,X,X,X,X
JTZLOIS,X,X,O,X,X
JTZLOSI,X,X,O,X,X
JTZSILO,X,X,X,X,X
JTZSIOL,X,X,X,X,X
JTZSLIO,X,X,X,X,X
JTZSLOI,X,X,X,X,X
JTZSOIL,X,X,X,X,X
JTZSOLI,X,X,X,X,X
JTZOILS,X,X,X,X,X
JTZOISL,X,X,X,X,X
JTZOLIS,X,X,X,X,X
JTZOLSI,X,X,X,X,X
JTZOSIL,X,X,X,X,X
JTZOSLI,X,X,X,X,X
JTOILSZ,X,X,X,X,X
JTOILZS,X,O,X,X,X
JTOISLZ,X,X,X,X,X
JTOISZL,X,X,X,X,X
JTOIZLS,X,O,X,X,X
JTOIZSL,X,X,X,X,X
JTOLISZ,X,X,X,X,X
JTOLIZS,X,O,X,X,X
